Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SCN_CN15_9199_CEI77A_ATV", 13.8, 1,    7936.04,   -0.3,   0.99606, 2,    7936.04, -120.3,   0.99606, 3,    7936.04,  119.7,   0.99606
"SCN_CN15_9153_CEI109", 13.8, 1,    6311.18,   -4.0,   0.79212, 2,    6311.17, -124.0,   0.79212, 3,    6311.17,  116.0,   0.79212
"SCN_CN15_9154_CEI109", 13.8, 1,    6311.21,   -4.0,   0.79213, 2,    6311.19, -124.0,   0.79212, 3,     6311.2,  116.0,   0.79212
"SCN_CN15_9098_CEI131_ATV", 13.8, 1,    6382.13,   -3.7,   0.80103, 2,    6382.12, -123.7,   0.80103, 3,    6382.12,  116.3,   0.80103
"SCN_CN15_9097_CEI131_ATV", 13.8, 1,    6382.14,   -3.7,   0.80103, 2,    6382.12, -123.7,   0.80103, 3,    6382.13,  116.3,   0.80103
"SCN_CN15_9079_CEI201_ATV", 13.8, 1,    6461.47,   -3.4,   0.81098, 2,    6461.46, -123.4,   0.81098, 3,    6461.46,  116.6,   0.81098
"SCN_CN15_9080_CEI201_ATV", 13.8, 1,    6461.46,   -3.4,   0.81098, 2,    6461.45, -123.4,   0.81098, 3,    6461.45,  116.6,   0.81098
"SCN_CN15_9356_CEI109", 13.8, 1,    6287.82,   -4.1,   0.78919, 2,    6287.81, -124.1,   0.78919, 3,    6287.81,  115.9,   0.78919
"SCN_CN15_9349_CEI109", 13.8, 1,    6288.23,   -4.1,   0.78924, 2,    6288.22, -124.1,   0.78924, 3,    6288.22,  115.9,   0.78924
"SCN_CN15_9039_CEI201_ATV", 13.8, 1,    6288.43,   -4.1,   0.78927, 2,    6288.41, -124.1,   0.78926, 3,    6288.41,  115.9,   0.78926
"SCN_CN15_9021_CEI201_ATV", 13.8, 1,    6284.75,   -4.1,   0.78881, 2,    6284.74, -124.1,    0.7888, 3,    6284.74,  115.9,    0.7888
"SCN_CN15_9022_CEI201_ATV", 13.8, 1,    6284.92,   -4.1,   0.78883, 2,     6284.9, -124.1,   0.78882, 3,    6284.91,  115.9,   0.78882
"SCN_CN15_9274_CEI109", 13.8, 1,    6345.55,   -3.9,   0.79644, 2,    6345.54, -123.9,   0.79643, 3,    6345.54,  116.1,   0.79643
"SCN_CN15_9275_CEI109", 13.8, 1,    6344.42,   -3.9,   0.79629, 2,     6344.4, -123.9,   0.79629, 3,    6344.41,  116.1,   0.79629
"SCN_CN15_9269_CEI109", 13.8, 1,    6346.67,   -3.9,   0.79658, 2,    6346.66, -123.9,   0.79658, 3,    6346.66,  116.1,   0.79658
"SCN_CN15_9053_CEI201_ATV", 13.8, 1,    6290.22,   -4.1,   0.78949, 2,    6290.21, -124.1,   0.78949, 3,    6290.21,  115.9,   0.78949
"SCN_CN15_9485_CEI109", 13.8, 1,    6290.24,   -4.1,   0.78949, 2,    6290.23, -124.1,   0.78949, 3,    6290.23,  115.9,   0.78949
"SCN_CN15_421165_CEI", 13.8, 1,    6471.98,   -3.3,    0.8123, 2,    6471.96, -123.3,    0.8123, 3,    6471.97,  116.7,    0.8123
"SCN_CN15_421166_CEI", 13.8, 1,    6472.56,   -3.3,   0.81238, 2,    6472.55, -123.3,   0.81238, 3,    6472.55,  116.7,   0.81238
"SCN_CN15_9143_CEI69B", 13.8, 1,    6473.08,   -3.3,   0.81244, 2,    6473.06, -123.3,   0.81244, 3,    6473.07,  116.7,   0.81244
"SCN_CN15_9141_CEI201_ATV", 13.8, 1,    6471.98,   -3.3,    0.8123, 2,    6471.96, -123.3,    0.8123, 3,    6471.97,  116.7,    0.8123
"SCN_CN15_9129_CEI201_ATV", 13.8, 1,    6477.24,   -3.3,   0.81296, 2,    6477.23, -123.3,   0.81296, 3,    6477.23,  116.7,   0.81296
"SCN_CN15_9008_CEI220_ATV", 13.8, 1,    6477.24,   -3.3,   0.81296, 2,    6477.23, -123.3,   0.81296, 3,    6477.23,  116.7,   0.81296
"SCN_CN15_421168_CEI", 13.8, 1,    6376.04,   -3.8,   0.80026, 2,    6376.02, -123.8,   0.80026, 3,    6376.03,  116.2,   0.80026
"SCN_CN15_9015_CEI109", 13.8, 1,    6376.04,   -3.8,   0.80026, 2,    6376.02, -123.8,   0.80026, 3,    6376.03,  116.2,   0.80026
"SCN_CN15_421185_CEI", 13.8, 1,    6404.79,   -3.7,   0.80387, 2,    6404.78, -123.7,   0.80387, 3,    6404.78,  116.3,   0.80387
"SCN_CN15_9162_CEI220_ATV_S", 13.8, 1,    6403.31,   -3.7,   0.80368, 2,    6403.29, -123.7,   0.80368, 3,     6403.3,  116.3,   0.80368
"SCN_CN15_421186_CEI", 13.8, 1,    6405.91,   -3.7,   0.80401, 2,    6405.89, -123.7,   0.80401, 3,     6405.9,  116.3,   0.80401
"SCN_CN15_421187_CEI", 13.8, 1,    6407.21,   -3.6,   0.80417, 2,     6407.2, -123.6,   0.80417, 3,     6407.2,  116.4,   0.80417
