Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SCN_CN15_9199_CEI77A_ATV", 13.8, 1,    7925.69,   -0.3,   0.99476, 2,    7925.69, -120.3,   0.99476, 3,    7925.69,  119.7,   0.99476
"SCN_CN15_9153_CEI109", 13.8, 1,    5838.14,   -5.0,   0.73275, 2,    5838.13, -125.0,   0.73275, 3,    5838.13,  115.0,   0.73275
"SCN_CN15_9154_CEI109", 13.8, 1,    5838.17,   -5.0,   0.73275, 2,    5838.16, -125.0,   0.73275, 3,    5838.17,  115.0,   0.73275
"SCN_CN15_9098_CEI131_ATV", 13.8, 1,    5928.06,   -4.6,   0.74404, 2,    5928.05, -124.6,   0.74404, 3,    5928.05,  115.4,   0.74404
"SCN_CN15_9097_CEI131_ATV", 13.8, 1,    5928.07,   -4.6,   0.74404, 2,    5928.06, -124.6,   0.74404, 3,    5928.06,  115.4,   0.74404
"SCN_CN15_9079_CEI201_ATV", 13.8, 1,    6028.41,   -4.1,   0.75663, 2,    6028.39, -124.1,   0.75663, 3,     6028.4,  115.9,   0.75663
"SCN_CN15_9080_CEI201_ATV", 13.8, 1,     6028.4,   -4.1,   0.75663, 2,    6028.39, -124.1,   0.75663, 3,    6028.39,  115.9,   0.75663
"SCN_CN15_9356_CEI109", 13.8, 1,    5808.57,   -5.1,   0.72904, 2,    5808.55, -125.1,   0.72904, 3,    5808.56,  114.9,   0.72904
"SCN_CN15_9349_CEI109", 13.8, 1,    5809.08,   -5.1,    0.7291, 2,    5809.07, -125.1,    0.7291, 3,    5809.07,  114.9,    0.7291
"SCN_CN15_9039_CEI201_ATV", 13.8, 1,    5809.33,   -5.1,   0.72913, 2,    5809.32, -125.1,   0.72913, 3,    5809.32,  114.9,   0.72913
"SCN_CN15_9021_CEI201_ATV", 13.8, 1,    5804.68,   -5.1,   0.72855, 2,    5804.66, -125.1,   0.72855, 3,    5804.67,  114.9,   0.72855
"SCN_CN15_9022_CEI201_ATV", 13.8, 1,    5804.88,   -5.1,   0.72858, 2,    5804.87, -125.1,   0.72857, 3,    5804.87,  114.9,   0.72858
"SCN_CN15_9274_CEI109", 13.8, 1,    5881.72,   -4.8,   0.73822, 2,    5881.71, -124.8,   0.73822, 3,    5881.71,  115.2,   0.73822
"SCN_CN15_9275_CEI109", 13.8, 1,    5880.28,   -4.8,   0.73804, 2,    5880.27, -124.8,   0.73804, 3,    5880.28,  115.2,   0.73804
"SCN_CN15_9269_CEI109", 13.8, 1,    5883.14,   -4.8,    0.7384, 2,    5883.13, -124.8,    0.7384, 3,    5883.14,  115.2,    0.7384
"SCN_CN15_9053_CEI201_ATV", 13.8, 1,    5811.61,   -5.1,   0.72942, 2,    5811.59, -125.1,   0.72942, 3,     5811.6,  114.9,   0.72942
"SCN_CN15_9485_CEI109", 13.8, 1,    5811.63,   -5.1,   0.72942, 2,    5811.62, -125.1,   0.72942, 3,    5811.62,  114.9,   0.72942
"SCN_CN15_421165_CEI", 13.8, 1,    6041.86,   -4.1,   0.75832, 2,    6041.84, -124.1,   0.75832, 3,    6041.85,  115.9,   0.75832
"SCN_CN15_421166_CEI", 13.8, 1,    6042.61,   -4.1,   0.75841, 2,    6042.59, -124.1,   0.75841, 3,     6042.6,  115.9,   0.75841
"SCN_CN15_9143_CEI69B", 13.8, 1,    6043.26,   -4.1,    0.7585, 2,    6043.25, -124.1,   0.75849, 3,    6043.26,  115.9,   0.75849
"SCN_CN15_9141_CEI201_ATV", 13.8, 1,    6041.86,   -4.1,   0.75832, 2,    6041.84, -124.1,   0.75832, 3,    6041.85,  115.9,   0.75832
"SCN_CN15_9129_CEI201_ATV", 13.8, 1,    6048.54,   -4.1,   0.75916, 2,    6048.53, -124.1,   0.75916, 3,    6048.53,  115.9,   0.75916
"SCN_CN15_9008_CEI220_ATV", 13.8, 1,    6048.54,   -4.1,   0.75916, 2,    6048.53, -124.1,   0.75916, 3,    6048.53,  115.9,   0.75916
"SCN_CN15_421168_CEI", 13.8, 1,    5920.38,   -4.6,   0.74307, 2,    5920.37, -124.6,   0.74307, 3,    5920.37,  115.4,   0.74307
"SCN_CN15_9015_CEI109", 13.8, 1,    5920.38,   -4.6,   0.74307, 2,    5920.37, -124.6,   0.74307, 3,    5920.37,  115.4,   0.74307
"SCN_CN15_421185_CEI", 13.8, 1,    5956.88,   -4.5,   0.74765, 2,    5956.87, -124.5,   0.74765, 3,    5956.87,  115.5,   0.74765
"SCN_CN15_9162_CEI220_ATV_S", 13.8, 1,    5954.99,   -4.5,   0.74742, 2,    5954.98, -124.5,   0.74741, 3,    5954.98,  115.5,   0.74742
"SCN_CN15_421186_CEI", 13.8, 1,    5958.29,   -4.5,   0.74783, 2,    5958.28, -124.5,   0.74783, 3,    5958.28,  115.5,   0.74783
"SCN_CN15_421187_CEI", 13.8, 1,    5959.95,   -4.5,   0.74804, 2,    5959.93, -124.5,   0.74804, 3,    5959.94,  115.5,   0.74804
"SCN_CN15_421169_CEI", 13.8, 1,     5962.3,   -4.5,   0.74833, 2,    5962.29, -124.5,   0.74833, 3,    5962.29,  115.5,   0.74833
"SCN_CN15_9012_CEI120", 13.8, 1,    5960.91,   -4.5,   0.74816, 2,    5960.89, -124.5,   0.74816, 3,     5960.9,  115.5,   0.74816
"SCN_CN15_421170_CEI", 13.8, 1,    5973.33,   -4.5,   0.74972, 2,    5973.32, -124.5,   0.74972, 3,    5973.32,  115.5,   0.74972
"SCN_CN15_421171_CEI", 13.8, 1,    5973.33,   -4.5,   0.74972, 2,    5973.32, -124.5,   0.74972, 3,    5973.32,  115.5,   0.74972
"SCN_CN15_421172_CEI", 13.8, 1,    5973.33,   -4.5,   0.74972, 2,    5973.32, -124.5,   0.74972, 3,    5973.32,  115.5,   0.74972
"SCN_CN15_421173_CEI", 13.8, 1,    5973.33,   -4.5,   0.74972, 2,    5973.32, -124.5,   0.74972, 3,    5973.32,  115.5,   0.74972
"SCN_CN15_421174_CEI", 13.8, 1,    5973.33,   -4.5,   0.74972, 2,    5973.32, -124.5,   0.74972, 3,    5973.32,  115.5,   0.74972
"SCN_CN15_421175_CEI", 13.8, 1,    5982.95,   -4.4,   0.75093, 2,    5982.93, -124.4,   0.75092, 3,    5982.94,  115.6,   0.75092
"SCN_CN15_421176_CEI", 13.8, 1,    5982.95,   -4.4,   0.75093, 2,    5982.93, -124.4,   0.75092, 3,    5982.94,  115.6,   0.75092
"SCN_CN15_421177_CEI", 13.8, 1,    5982.95,   -4.4,   0.75093, 2,    5982.93, -124.4,   0.75092, 3,    5982.94,  115.6,   0.75092
"SCN_CN15_421178_CEI", 13.8, 1,    5982.95,   -4.4,   0.75093, 2,    5982.93, -124.4,   0.75092, 3,    5982.94,  115.6,   0.75092
"SCN_CN15_421179_CEI", 13.8, 1,    6003.31,   -4.3,   0.75348, 2,     6003.3, -124.3,   0.75348, 3,    6003.31,  115.7,   0.75348
"SCN_CN15_9047_CEI130_ATV", 13.8, 1,    6031.73,   -4.2,   0.75705, 2,    6031.72, -124.2,   0.75705, 3,    6031.72,  115.8,   0.75705
"SCN_CN15_421180_CEI", 13.8, 1,    6031.73,   -4.2,   0.75705, 2,    6031.72, -124.2,   0.75705, 3,    6031.72,  115.8,   0.75705
"SCN_CN15_9037_CEI130_ATV", 13.8, 1,    6080.62,   -4.1,   0.76318, 2,    6080.61, -124.1,   0.76318, 3,    6080.61,  115.9,   0.76318
"SCN_CN15_9047_CEI130_ATV_S", 13.8, 1,    6031.73,   -4.2,   0.75705, 2,    6031.72, -124.2,   0.75705, 3,    6031.72,  115.8,   0.75705
"SCN_CN15_421181_CEI", 13.8, 1,    6091.01,   -4.0,   0.76449, 2,       6091, -124.0,   0.76449, 3,       6091,  116.0,   0.76449
"SCN_CN15_9040_CEI130_ATV", 13.8, 1,    6091.01,   -4.0,   0.76449, 2,       6091, -124.0,   0.76449, 3,       6091,  116.0,   0.76449
"SCN_CN15_421182_CEI", 13.8, 1,    6091.01,   -4.0,   0.76449, 2,       6091, -124.0,   0.76449, 3,       6091,  116.0,   0.76449
"SCN_CN15_421183_CEI", 13.8, 1,    6091.01,   -4.0,   0.76449, 2,       6091, -124.0,   0.76449, 3,       6091,  116.0,   0.76449
"SCN_CN15_421184_CEI", 13.8, 1,    6091.01,   -4.0,   0.76449, 2,       6091, -124.0,   0.76449, 3,       6091,  116.0,   0.76449
"SCN_CN15_421195_CEI", 13.8, 1,    6138.43,   -3.9,   0.77044, 2,    6138.42, -123.9,   0.77044, 3,    6138.42,  116.1,   0.77044
"SCN_CN15_9022_CEI250_ATV", 13.8, 1,     6136.4,   -3.9,   0.77019, 2,    6136.39, -123.9,   0.77018, 3,    6136.39,  116.1,   0.77018
"SCN_CN15_421196_CEI", 13.8, 1,     6141.3,   -3.8,    0.7708, 2,    6141.29, -123.8,    0.7708, 3,    6141.29,  116.2,    0.7708
"SCN_CN15_9025_CEI130_ATV", 13.8, 1,    6143.65,   -3.8,    0.7711, 2,    6143.64, -123.8,   0.77109, 3,    6143.65,  116.2,   0.77109
"SCN_CN15_421197_CEI", 13.8, 1,    6031.39,   -4.2,   0.75701, 2,    6031.38, -124.2,     0.757, 3,    6031.38,  115.8,     0.757
"SCN_CN15_9004_CEI160_ATV", 13.8, 1,    6031.39,   -4.2,   0.75701, 2,    6031.38, -124.2,     0.757, 3,    6031.38,  115.8,     0.757
"SCN_CN15_9005_CEI160_ATV", 13.8, 1,    6031.39,   -4.2,   0.75701, 2,    6031.38, -124.2,     0.757, 3,    6031.38,  115.8,     0.757
"SCN_CN15_9017_CEI130A_ATV", 13.8, 1,    6343.36,   -3.4,   0.79616, 2,    6343.35, -123.4,   0.79616, 3,    6343.35,  116.6,   0.79616
"SCN_CN15_421206_CEI", 13.8, 1,    6343.36,   -3.4,   0.79616, 2,    6343.35, -123.4,   0.79616, 3,    6343.35,  116.6,   0.79616
"SCN_CN15_9034_CEI130A_ATV", 13.8, 1,    6342.02,   -3.4,   0.79599, 2,    6342.01, -123.4,   0.79599, 3,    6342.01,  116.6,   0.79599
"SCN_CN15_421207_CEI", 13.8, 1,    6342.02,   -3.4,   0.79599, 2,    6342.01, -123.4,   0.79599, 3,    6342.01,  116.6,   0.79599
"SCN_CN15_421208_CEI", 13.8, 1,    6342.02,   -3.4,   0.79599, 2,    6342.01, -123.4,   0.79599, 3,    6342.01,  116.6,   0.79599
"SCN_CN15_421209_CEI", 13.8, 1,    6342.02,   -3.4,   0.79599, 2,    6342.01, -123.4,   0.79599, 3,    6342.01,  116.6,   0.79599
"SCN_CN15_421210_CEI", 13.8, 1,    6342.02,   -3.4,   0.79599, 2,    6342.01, -123.4,   0.79599, 3,    6342.01,  116.6,   0.79599
"SCN_CN15_421211_CEI", 13.8, 1,    6342.02,   -3.4,   0.79599, 2,    6342.01, -123.4,   0.79599, 3,    6342.01,  116.6,   0.79599
"SCN_CN15_421212_CEI", 13.8, 1,    6342.02,   -3.4,   0.79599, 2,    6342.01, -123.4,   0.79599, 3,    6342.01,  116.6,   0.79599
