Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SCN_CN15_9199_CEI77A_ATV", 13.8, 1,    7930.72,   -0.3,   0.99539, 2,    7930.72, -120.3,   0.99539, 3,    7930.72,  119.7,   0.99539
"SCN_CN15_9153_CEI109", 13.8, 1,    6064.32,   -4.5,   0.76114, 2,    6064.31, -124.5,   0.76114, 3,    6064.31,  115.5,   0.76114
"SCN_CN15_9154_CEI109", 13.8, 1,    6064.35,   -4.5,   0.76114, 2,    6064.34, -124.5,   0.76114, 3,    6064.34,  115.5,   0.76114
"SCN_CN15_9098_CEI131_ATV", 13.8, 1,    6145.26,   -4.2,    0.7713, 2,    6145.25, -124.2,    0.7713, 3,    6145.25,  115.8,    0.7713
"SCN_CN15_9097_CEI131_ATV", 13.8, 1,    6145.26,   -4.2,    0.7713, 2,    6145.25, -124.2,    0.7713, 3,    6145.25,  115.8,    0.7713
"SCN_CN15_9079_CEI201_ATV", 13.8, 1,    6235.67,   -3.8,   0.78264, 2,    6235.66, -123.8,   0.78264, 3,    6235.66,  116.2,   0.78264
"SCN_CN15_9080_CEI201_ATV", 13.8, 1,    6235.66,   -3.8,   0.78264, 2,    6235.65, -123.8,   0.78264, 3,    6235.65,  116.2,   0.78264
"SCN_CN15_9356_CEI109", 13.8, 1,    6037.69,   -4.6,    0.7578, 2,    6037.68, -124.6,   0.75779, 3,    6037.68,  115.4,   0.75779
"SCN_CN15_9349_CEI109", 13.8, 1,    6038.15,   -4.6,   0.75785, 2,    6038.14, -124.6,   0.75785, 3,    6038.14,  115.4,   0.75785
"SCN_CN15_9039_CEI201_ATV", 13.8, 1,    6038.37,   -4.6,   0.75788, 2,    6038.36, -124.6,   0.75788, 3,    6038.37,  115.4,   0.75788
"SCN_CN15_9021_CEI201_ATV", 13.8, 1,    6034.19,   -4.6,   0.75736, 2,    6034.18, -124.6,   0.75736, 3,    6034.18,  115.4,   0.75736
"SCN_CN15_9022_CEI201_ATV", 13.8, 1,    6034.37,   -4.6,   0.75738, 2,    6034.36, -124.6,   0.75738, 3,    6034.36,  115.4,   0.75738
"SCN_CN15_9274_CEI109", 13.8, 1,    6103.54,   -4.4,   0.76606, 2,    6103.53, -124.4,   0.76606, 3,    6103.53,  115.6,   0.76606
