Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SCN_CN15_9199_CEI77A_ATV", 13.8, 1,    7920.93,   -0.3,   0.99416, 2,    7920.93, -120.3,   0.99416, 3,    7920.93,  119.7,   0.99416
"SCN_CN15_9153_CEI109", 13.8, 1,    5630.31,   -5.4,   0.70667, 2,     5630.3, -125.4,   0.70666, 3,     5630.3,  114.6,   0.70666
"SCN_CN15_9154_CEI109", 13.8, 1,    5630.35,   -5.4,   0.70667, 2,    5630.34, -125.4,   0.70667, 3,    5630.34,  114.6,   0.70667
"SCN_CN15_9098_CEI131_ATV", 13.8, 1,    5728.34,   -4.9,   0.71897, 2,    5728.33, -124.9,   0.71897, 3,    5728.33,  115.1,   0.71897
"SCN_CN15_9097_CEI131_ATV", 13.8, 1,    5728.34,   -4.9,   0.71897, 2,    5728.33, -124.9,   0.71897, 3,    5728.33,  115.1,   0.71897
"SCN_CN15_9079_CEI201_ATV", 13.8, 1,     5837.6,   -4.4,   0.73268, 2,    5837.59, -124.4,   0.73268, 3,    5837.59,  115.6,   0.73268
"SCN_CN15_9080_CEI201_ATV", 13.8, 1,    5837.59,   -4.4,   0.73268, 2,    5837.58, -124.4,   0.73268, 3,    5837.58,  115.6,   0.73268
"SCN_CN15_9356_CEI109", 13.8, 1,    5598.08,   -5.5,   0.70262, 2,    5598.07, -125.5,   0.70262, 3,    5598.07,  114.5,   0.70262
"SCN_CN15_9349_CEI109", 13.8, 1,    5598.64,   -5.5,   0.70269, 2,    5598.63, -125.5,   0.70269, 3,    5598.63,  114.5,   0.70269
"SCN_CN15_9039_CEI201_ATV", 13.8, 1,    5598.91,   -5.5,   0.70272, 2,     5598.9, -125.5,   0.70272, 3,     5598.9,  114.5,   0.70272
"SCN_CN15_9021_CEI201_ATV", 13.8, 1,    5593.84,   -5.5,   0.70209, 2,    5593.83, -125.5,   0.70209, 3,    5593.83,  114.5,   0.70209
"SCN_CN15_9022_CEI201_ATV", 13.8, 1,    5594.07,   -5.5,   0.70212, 2,    5594.06, -125.5,   0.70212, 3,    5594.06,  114.5,   0.70212
"SCN_CN15_9274_CEI109", 13.8, 1,    5677.83,   -5.2,   0.71263, 2,    5677.82, -125.2,   0.71263, 3,    5677.82,  114.8,   0.71263
"SCN_CN15_9275_CEI109", 13.8, 1,    5676.26,   -5.2,   0.71243, 2,    5676.25, -125.2,   0.71243, 3,    5676.25,  114.8,   0.71243
"SCN_CN15_9269_CEI109", 13.8, 1,    5679.38,   -5.2,   0.71282, 2,    5679.37, -125.2,   0.71282, 3,    5679.37,  114.8,   0.71282
"SCN_CN15_9053_CEI201_ATV", 13.8, 1,    5601.39,   -5.5,   0.70304, 2,    5601.39, -125.5,   0.70304, 3,    5601.38,  114.5,   0.70304
"SCN_CN15_9485_CEI109", 13.8, 1,    5601.42,   -5.5,   0.70304, 2,    5601.41, -125.5,   0.70304, 3,    5601.41,  114.5,   0.70304
"SCN_CN15_421165_CEI", 13.8, 1,    5852.34,   -4.4,   0.73453, 2,    5852.33, -124.4,   0.73453, 3,    5852.33,  115.6,   0.73453
"SCN_CN15_421166_CEI", 13.8, 1,    5853.16,   -4.4,   0.73464, 2,    5853.15, -124.4,   0.73463, 3,    5853.15,  115.6,   0.73463
"SCN_CN15_9143_CEI69B", 13.8, 1,    5853.88,   -4.4,   0.73473, 2,    5853.87, -124.4,   0.73472, 3,    5853.87,  115.6,   0.73472
"SCN_CN15_9141_CEI201_ATV", 13.8, 1,    5852.34,   -4.4,   0.73453, 2,    5852.33, -124.4,   0.73453, 3,    5852.33,  115.6,   0.73453
"SCN_CN15_9129_CEI201_ATV", 13.8, 1,    5859.64,   -4.4,   0.73545, 2,    5859.63, -124.4,   0.73545, 3,    5859.63,  115.6,   0.73545
"SCN_CN15_9008_CEI220_ATV", 13.8, 1,    5859.64,   -4.4,   0.73545, 2,    5859.63, -124.4,   0.73545, 3,    5859.63,  115.6,   0.73545
"SCN_CN15_421168_CEI", 13.8, 1,    5719.99,   -5.0,   0.71792, 2,    5719.98, -125.0,   0.71792, 3,    5719.98,  115.0,   0.71792
"SCN_CN15_9015_CEI109", 13.8, 1,    5719.99,   -5.0,   0.71792, 2,    5719.98, -125.0,   0.71792, 3,    5719.98,  115.0,   0.71792
"SCN_CN15_421185_CEI", 13.8, 1,     5759.8,   -4.9,   0.72292, 2,    5759.79, -124.9,   0.72292, 3,    5759.79,  115.1,   0.72292
"SCN_CN15_9162_CEI220_ATV_S", 13.8, 1,    5757.74,   -4.9,   0.72266, 2,    5757.73, -124.9,   0.72266, 3,    5757.73,  115.1,   0.72266
"SCN_CN15_421186_CEI", 13.8, 1,    5761.34,   -4.8,   0.72311, 2,    5761.33, -124.8,   0.72311, 3,    5761.33,  115.2,   0.72311
"SCN_CN15_421187_CEI", 13.8, 1,    5763.15,   -4.8,   0.72334, 2,    5763.14, -124.8,   0.72334, 3,    5763.14,  115.2,   0.72334
"SCN_CN15_421169_CEI", 13.8, 1,    5765.71,   -4.8,   0.72366, 2,    5765.71, -124.8,   0.72366, 3,    5765.71,  115.2,   0.72366
"SCN_CN15_9012_CEI120", 13.8, 1,    5764.19,   -4.8,   0.72347, 2,    5764.18, -124.8,   0.72347, 3,    5764.18,  115.2,   0.72347
"SCN_CN15_421170_CEI", 13.8, 1,    5777.75,   -4.8,   0.72517, 2,    5777.75, -124.8,   0.72517, 3,    5777.75,  115.2,   0.72517
"SCN_CN15_421171_CEI", 13.8, 1,    5777.75,   -4.8,   0.72517, 2,    5777.75, -124.8,   0.72517, 3,    5777.75,  115.2,   0.72517
"SCN_CN15_421172_CEI", 13.8, 1,    5777.75,   -4.8,   0.72517, 2,    5777.75, -124.8,   0.72517, 3,    5777.75,  115.2,   0.72517
"SCN_CN15_421173_CEI", 13.8, 1,    5777.75,   -4.8,   0.72517, 2,    5777.75, -124.8,   0.72517, 3,    5777.75,  115.2,   0.72517
"SCN_CN15_421174_CEI", 13.8, 1,    5777.75,   -4.8,   0.72517, 2,    5777.75, -124.8,   0.72517, 3,    5777.75,  115.2,   0.72517
"SCN_CN15_421175_CEI", 13.8, 1,    5788.25,   -4.7,   0.72649, 2,    5788.24, -124.7,   0.72649, 3,    5788.24,  115.3,   0.72649
"SCN_CN15_421176_CEI", 13.8, 1,    5788.25,   -4.7,   0.72649, 2,    5788.24, -124.7,   0.72649, 3,    5788.24,  115.3,   0.72649
"SCN_CN15_421177_CEI", 13.8, 1,    5788.25,   -4.7,   0.72649, 2,    5788.24, -124.7,   0.72649, 3,    5788.24,  115.3,   0.72649
