Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SCN_CN15_9199_CEI77A_ATV", 13.8, 1,    7947.62,   -0.2,   0.99751, 2,    7947.62, -120.2,   0.99751, 3,    7947.62,  119.8,   0.99751
"SCN_CN15_9153_CEI109", 13.8, 1,    6878.31,   -2.7,    0.8633, 2,     6878.3, -122.7,    0.8633, 3,     6878.3,  117.3,    0.8633
"SCN_CN15_9154_CEI109", 13.8, 1,    6878.33,   -2.7,   0.86331, 2,    6878.32, -122.7,    0.8633, 3,    6878.31,  117.3,    0.8633
"SCN_CN15_9098_CEI131_ATV", 13.8, 1,    6925.69,   -2.5,   0.86925, 2,    6925.68, -122.5,   0.86925, 3,    6925.68,  117.5,   0.86925
"SCN_CN15_9097_CEI131_ATV", 13.8, 1,     6925.7,   -2.5,   0.86925, 2,    6925.69, -122.5,   0.86925, 3,    6925.68,  117.5,   0.86925
"SCN_CN15_9079_CEI201_ATV", 13.8, 1,    6978.77,   -2.3,   0.87591, 2,    6978.76, -122.3,   0.87591, 3,    6978.76,  117.7,   0.87591
"SCN_CN15_9080_CEI201_ATV", 13.8, 1,    6978.77,   -2.3,   0.87591, 2,    6978.75, -122.3,   0.87591, 3,    6978.75,  117.7,   0.87591
"SCN_CN15_9356_CEI109", 13.8, 1,     6862.7,   -2.8,   0.86134, 2,    6862.69, -122.8,   0.86134, 3,    6862.69,  117.2,   0.86134
"SCN_CN15_9349_CEI109", 13.8, 1,    6862.97,   -2.8,   0.86138, 2,    6862.96, -122.8,   0.86138, 3,    6862.96,  117.2,   0.86138
"SCN_CN15_9039_CEI201_ATV", 13.8, 1,     6863.1,   -2.8,   0.86139, 2,    6863.09, -122.8,   0.86139, 3,    6863.09,  117.2,   0.86139
"SCN_CN15_9021_CEI201_ATV", 13.8, 1,    6860.65,   -2.8,   0.86109, 2,    6860.63, -122.8,   0.86108, 3,    6860.63,  117.2,   0.86108
"SCN_CN15_9022_CEI201_ATV", 13.8, 1,    6860.76,   -2.8,    0.8611, 2,    6860.74, -122.8,    0.8611, 3,    6860.74,  117.2,    0.8611
"SCN_CN15_9274_CEI109", 13.8, 1,    6901.26,   -2.6,   0.86618, 2,    6901.25, -122.6,   0.86618, 3,    6901.24,  117.4,   0.86618
"SCN_CN15_9275_CEI109", 13.8, 1,     6900.5,   -2.7,   0.86609, 2,    6900.49, -122.7,   0.86609, 3,    6900.49,  117.3,   0.86609
"SCN_CN15_9269_CEI109", 13.8, 1,    6902.01,   -2.6,   0.86628, 2,    6901.99, -122.6,   0.86628, 3,    6901.99,  117.4,   0.86628
"SCN_CN15_9053_CEI201_ATV", 13.8, 1,     6864.3,   -2.8,   0.86155, 2,    6864.29, -122.8,   0.86154, 3,    6864.29,  117.2,   0.86154
"SCN_CN15_9485_CEI109", 13.8, 1,    6864.32,   -2.8,   0.86155, 2,     6864.3, -122.8,   0.86154, 3,     6864.3,  117.2,   0.86154
"SCN_CN15_421165_CEI", 13.8, 1,    6985.72,   -2.3,   0.87678, 2,     6985.7, -122.3,   0.87678, 3,     6985.7,  117.7,   0.87678
"SCN_CN15_421166_CEI", 13.8, 1,     6986.1,   -2.3,   0.87683, 2,    6986.09, -122.3,   0.87683, 3,    6986.09,  117.7,   0.87683
