Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SCN_CN15_9199_CEI77A_ATV", 13.8, 1,    7920.93,   -0.3,   0.99416, 2,    7920.93, -120.3,   0.99416, 3,    7920.93,  119.7,   0.99416
"SCN_CN15_9153_CEI109", 13.8, 1,    5630.28,   -5.4,   0.70666, 2,    5630.27, -125.4,   0.70666, 3,    5630.27,  114.6,   0.70666
"SCN_CN15_9154_CEI109", 13.8, 1,    5630.32,   -5.4,   0.70667, 2,    5630.31, -125.4,   0.70667, 3,    5630.31,  114.6,   0.70667
"SCN_CN15_9098_CEI131_ATV", 13.8, 1,    5728.31,   -4.9,   0.71897, 2,     5728.3, -124.9,   0.71896, 3,     5728.3,  115.1,   0.71896
"SCN_CN15_9097_CEI131_ATV", 13.8, 1,    5728.32,   -4.9,   0.71897, 2,    5728.31, -124.9,   0.71897, 3,    5728.31,  115.1,   0.71897
"SCN_CN15_9079_CEI201_ATV", 13.8, 1,    5837.58,   -4.4,   0.73268, 2,    5837.57, -124.4,   0.73268, 3,    5837.57,  115.6,   0.73268
"SCN_CN15_9080_CEI201_ATV", 13.8, 1,    5837.57,   -4.4,   0.73268, 2,    5837.56, -124.4,   0.73268, 3,    5837.56,  115.6,   0.73268
"SCN_CN15_9356_CEI109", 13.8, 1,    5598.05,   -5.5,   0.70262, 2,    5598.04, -125.5,   0.70262, 3,    5598.04,  114.5,   0.70262
"SCN_CN15_9349_CEI109", 13.8, 1,    5598.61,   -5.5,   0.70269, 2,     5598.6, -125.5,   0.70269, 3,     5598.6,  114.5,   0.70269
"SCN_CN15_9039_CEI201_ATV", 13.8, 1,    5598.88,   -5.5,   0.70272, 2,    5598.87, -125.5,   0.70272, 3,    5598.87,  114.5,   0.70272
"SCN_CN15_9021_CEI201_ATV", 13.8, 1,    5593.81,   -5.5,   0.70208, 2,    5593.81, -125.5,   0.70208, 3,     5593.8,  114.5,   0.70208
"SCN_CN15_9022_CEI201_ATV", 13.8, 1,    5594.04,   -5.5,   0.70211, 2,    5594.03, -125.5,   0.70211, 3,    5594.03,  114.5,   0.70211
"SCN_CN15_9274_CEI109", 13.8, 1,     5677.8,   -5.2,   0.71263, 2,    5677.79, -125.2,   0.71262, 3,    5677.79,  114.8,   0.71262
"SCN_CN15_9275_CEI109", 13.8, 1,    5676.23,   -5.2,   0.71243, 2,    5676.23, -125.2,   0.71243, 3,    5676.23,  114.8,   0.71243
