Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"CN_ALCN-12", 13.8, 1,    7964.97,    0.0,   0.99969, 2,    7964.97, -120.0,   0.99969, 3,    7964.97,  120.0,   0.99969
"SCN_CN12_9032_CEI033", 13.8, 1,    7895.42,   -0.3,   0.99096, 2,    7895.41, -120.3,   0.99096, 3,    7895.41,  119.7,   0.99096
"SCN_CN12_9033_CEI033", 13.8, 1,    7894.93,   -0.3,    0.9909, 2,    7894.92, -120.3,    0.9909, 3,    7894.93,  119.7,    0.9909
"SCN_CN12_9031_CEI033", 13.8, 1,    7896.03,   -0.3,   0.99104, 2,    7896.03, -120.3,   0.99104, 3,    7896.03,  119.7,   0.99104
"SCN_CN12_CEI_FL_MT_1272", 13.8, 1,    7894.82,   -0.3,   0.99089, 2,    7894.81, -120.3,   0.99089, 3,    7894.82,  119.7,   0.99089
"SCN_CN12_9112_CEI033", 13.8, 1,     7894.8,   -0.3,   0.99088, 2,     7894.8, -120.3,   0.99088, 3,     7894.8,  119.7,   0.99088
"SCN_CN12_9111_CEI033", 13.8, 1,    7894.73,   -0.3,   0.99088, 2,    7894.73, -120.3,   0.99087, 3,    7894.73,  119.7,   0.99087
"SCN_CN12_9110_CEI033", 13.8, 1,    7894.68,   -0.3,   0.99087, 2,    7894.68, -120.3,   0.99087, 3,    7894.68,  119.7,   0.99087
"SCN_CN12_9109_CEI033", 13.8, 1,    7894.63,   -0.3,   0.99086, 2,    7894.62, -120.3,   0.99086, 3,    7894.63,  119.7,   0.99086
"SCN_CN12_9108_CEI033_S", 13.8, 1,    7894.59,   -0.3,   0.99086, 2,    7894.59, -120.3,   0.99086, 3,    7894.59,  119.7,   0.99086
"SCN_CN12_9107_CEI033", 13.8, 1,    7894.55,   -0.3,   0.99085, 2,    7894.55, -120.3,   0.99085, 3,    7894.55,  119.7,   0.99085
"SCN_CN12_9106_CEI033", 13.8, 1,    7894.49,   -0.3,   0.99084, 2,    7894.48, -120.3,   0.99084, 3,    7894.48,  119.7,   0.99084
"SCN_CN12_9105_CEI033", 13.8, 1,    7894.43,   -0.3,   0.99084, 2,    7894.43, -120.3,   0.99084, 3,    7894.43,  119.7,   0.99084
"SCN_CN12_9104_CEI033", 13.8, 1,    7894.38,   -0.3,   0.99083, 2,    7894.37, -120.3,   0.99083, 3,    7894.38,  119.7,   0.99083
"SCN_CN12_9103_CEI033", 13.8, 1,    7894.33,   -0.3,   0.99082, 2,    7894.32, -120.3,   0.99082, 3,    7894.32,  119.7,   0.99082
"SCN_CN12_9102_CEI033", 13.8, 1,    7894.27,   -0.3,   0.99082, 2,    7894.26, -120.3,   0.99082, 3,    7894.26,  119.7,   0.99082
"SCN_CN12_9101_CEI033", 13.8, 1,    7894.21,   -0.3,   0.99081, 2,    7894.21, -120.3,   0.99081, 3,    7894.21,  119.7,   0.99081
"SCN_CN12_9100_CEI033", 13.8, 1,    7894.16,   -0.3,    0.9908, 2,    7894.16, -120.3,    0.9908, 3,    7894.16,  119.7,    0.9908
"SCN_CN12_9099_CEI033", 13.8, 1,    7894.11,   -0.3,    0.9908, 2,    7894.11, -120.3,    0.9908, 3,    7894.11,  119.7,    0.9908
"SCN_CN12_9098_CEI033", 13.8, 1,    7894.06,   -0.3,   0.99079, 2,    7894.06, -120.3,   0.99079, 3,    7894.06,  119.7,   0.99079
"SCN_CN12_9097_CEI033", 13.8, 1,       7894,   -0.3,   0.99078, 2,    7893.99, -120.3,   0.99078, 3,    7893.99,  119.7,   0.99078
"SCN_CN12_9096_CEI033", 13.8, 1,    7893.94,   -0.3,   0.99078, 2,    7893.93, -120.3,   0.99077, 3,    7893.93,  119.7,   0.99077
"SCN_CN12_9095_CEI033", 13.8, 1,    7893.89,   -0.3,   0.99077, 2,    7893.89, -120.3,   0.99077, 3,    7893.89,  119.7,   0.99077
"SCN_CN12_9093_CEI033", 13.8, 1,    7893.84,   -0.3,   0.99076, 2,    7893.84, -120.3,   0.99076, 3,    7893.84,  119.7,   0.99076
"SCN_CN12_9094_CEI033", 13.8, 1,     7893.8,   -0.3,   0.99076, 2,     7893.8, -120.3,   0.99076, 3,     7893.8,  119.7,   0.99076
"SCN_CN12_9035_CEI079", 13.8, 1,    7893.72,   -0.3,   0.99075, 2,    7893.72, -120.3,   0.99075, 3,    7893.72,  119.7,   0.99075
"SCN_CN12_9036_CEI079", 13.8, 1,    7893.65,   -0.3,   0.99074, 2,    7893.64, -120.3,   0.99074, 3,    7893.64,  119.7,   0.99074
"SCN_CN12_9037_CEI079", 13.8, 1,    7893.61,   -0.3,   0.99073, 2,     7893.6, -120.3,   0.99073, 3,     7893.6,  119.7,   0.99073
"SCN_CN12_9046_CEI079", 13.8, 1,    7893.56,   -0.3,   0.99073, 2,    7893.56, -120.3,   0.99073, 3,    7893.56,  119.7,   0.99073
"SCN_CN12_9047_CEI079", 13.8, 1,    7893.52,   -0.3,   0.99072, 2,    7893.51, -120.3,   0.99072, 3,    7893.51,  119.7,   0.99072
"SCN_CN12_9048_CEI079", 13.8, 1,    7893.47,   -0.3,   0.99072, 2,    7893.46, -120.3,   0.99072, 3,    7893.47,  119.7,   0.99072
"SCN_CN12_9175_CEIRJ001_ATV_S", 13.8, 1,    7893.37,   -0.3,    0.9907, 2,    7893.36, -120.3,    0.9907, 3,    7893.36,  119.7,    0.9907
"SCN_CN12_9175_CEIRJ001_ATV", 13.8, 1,    7893.37,   -0.3,    0.9907, 2,    7893.36, -120.3,    0.9907, 3,    7893.36,  119.7,    0.9907
"SCN_CN12_9060_CEI079", 13.8, 1,    7893.35,   -0.3,    0.9907, 2,    7893.35, -120.3,    0.9907, 3,    7893.35,  119.7,    0.9907
"SCN_CN12_9054_CEI079", 13.8, 1,    7893.34,   -0.3,    0.9907, 2,    7893.33, -120.3,    0.9907, 3,    7893.33,  119.7,    0.9907
"SCN_CN12_9055_CEI079", 13.8, 1,    7893.32,   -0.3,    0.9907, 2,    7893.32, -120.3,    0.9907, 3,    7893.32,  119.7,    0.9907
"SCN_CN12_9059_CEI079", 13.8, 1,    7893.31,   -0.3,    0.9907, 2,     7893.3, -120.3,    0.9907, 3,     7893.3,  119.7,    0.9907
"SCN_CN12_9001_CEI85A", 13.8, 1,    7893.28,   -0.3,   0.99069, 2,    7893.28, -120.3,   0.99069, 3,    7893.28,  119.7,   0.99069
"SCN_CN12_9002_CEI85A", 13.8, 1,    7893.26,   -0.3,   0.99069, 2,    7893.26, -120.3,   0.99069, 3,    7893.26,  119.7,   0.99069
"SCN_CN12_9003_CEI85A", 13.8, 1,    7893.25,   -0.3,   0.99069, 2,    7893.24, -120.3,   0.99069, 3,    7893.24,  119.7,   0.99069
"SCN_CN12_9004_CEI85A", 13.8, 1,    7893.23,   -0.3,   0.99069, 2,    7893.22, -120.3,   0.99069, 3,    7893.22,  119.7,   0.99069
"SCN_CN12_9005_CEI85A", 13.8, 1,    7893.21,   -0.3,   0.99068, 2,     7893.2, -120.3,   0.99068, 3,     7893.2,  119.7,   0.99068
"SCN_CN12_9006_CEI85A", 13.8, 1,    7893.19,   -0.3,   0.99068, 2,    7893.18, -120.3,   0.99068, 3,    7893.18,  119.7,   0.99068
"SCN_CN12_9013_CEI85A", 13.8, 1,    7893.17,   -0.3,   0.99068, 2,    7893.17, -120.3,   0.99068, 3,    7893.17,  119.7,   0.99068
"SCN_CN12_9014_CEI85A", 13.8, 1,    7893.16,   -0.3,   0.99068, 2,    7893.16, -120.3,   0.99068, 3,    7893.16,  119.7,   0.99068
"SCN_CN12_9021_CEI85A", 13.8, 1,    7893.16,   -0.3,   0.99068, 2,    7893.15, -120.3,   0.99068, 3,    7893.16,  119.7,   0.99068
"SCN_CN12_9068_CEI280_ATV", 13.8, 1,    7893.16,   -0.3,   0.99068, 2,    7893.15, -120.3,   0.99068, 3,    7893.16,  119.7,   0.99068
"SCN_CN12_9022_CEI85A", 13.8, 1,    7893.15,   -0.3,   0.99068, 2,    7893.15, -120.3,   0.99068, 3,    7893.15,  119.7,   0.99068
"SCN_CN12_9023_CEI85A", 13.8, 1,    7893.14,   -0.3,   0.99068, 2,    7893.14, -120.3,   0.99068, 3,    7893.14,  119.7,   0.99068
"SCN_CN12_9024_CEI85A", 13.8, 1,    7893.14,   -0.3,   0.99068, 2,    7893.13, -120.3,   0.99067, 3,    7893.13,  119.7,   0.99067
"SCN_CN12_9025_CEI85A", 13.8, 1,    7893.13,   -0.3,   0.99067, 2,    7893.12, -120.3,   0.99067, 3,    7893.13,  119.7,   0.99067
"SCN_CN12_9026_CEI85A", 13.8, 1,    7893.12,   -0.3,   0.99067, 2,    7893.12, -120.3,   0.99067, 3,    7893.12,  119.7,   0.99067
"SCN_CN12_9027_CEI85A", 13.8, 1,    7893.12,   -0.3,   0.99067, 2,    7893.11, -120.3,   0.99067, 3,    7893.11,  119.7,   0.99067
"SCN_CN12_9001_CEI085", 13.8, 1,    7893.11,   -0.3,   0.99067, 2,    7893.11, -120.3,   0.99067, 3,    7893.11,  119.7,   0.99067
"SCN_CN12_9002_CEI085", 13.8, 1,    7893.11,   -0.3,   0.99067, 2,    7893.11, -120.3,   0.99067, 3,    7893.11,  119.7,   0.99067
"SCN_CN12_9003_CEI085", 13.8, 1,    7893.11,   -0.3,   0.99067, 2,     7893.1, -120.3,   0.99067, 3,    7893.11,  119.7,   0.99067
"SCN_CN12_9004_CEI085", 13.8, 1,    7893.11,   -0.3,   0.99067, 2,     7893.1, -120.3,   0.99067, 3,     7893.1,  119.7,   0.99067
"SCN_CN12_9009_CEI085", 13.8, 1,     7893.1,   -0.3,   0.99067, 2,     7893.1, -120.3,   0.99067, 3,     7893.1,  119.7,   0.99067
"SCN_CN12_9028_CEI85A", 13.8, 1,    7893.11,   -0.3,   0.99067, 2,    7893.11, -120.3,   0.99067, 3,    7893.11,  119.7,   0.99067
"SCN_CN12_9029_CEI85A", 13.8, 1,    7893.11,   -0.3,   0.99067, 2,     7893.1, -120.3,   0.99067, 3,     7893.1,  119.7,   0.99067
"SCN_CN12_9030_CEI85A", 13.8, 1,     7893.1,   -0.3,   0.99067, 2,     7893.1, -120.3,   0.99067, 3,     7893.1,  119.7,   0.99067
"SCN_CN12_9031_CEI85A", 13.8, 1,     7893.1,   -0.3,   0.99067, 2,    7893.09, -120.3,   0.99067, 3,    7893.09,  119.7,   0.99067
"SCN_CN12_9032_CEI85A", 13.8, 1,    7893.09,   -0.3,   0.99067, 2,    7893.09, -120.3,   0.99067, 3,    7893.09,  119.7,   0.99067
"SCN_CN12_9033_CEI85A", 13.8, 1,    7893.09,   -0.3,   0.99067, 2,    7893.08, -120.3,   0.99067, 3,    7893.09,  119.7,   0.99067
"SCN_CN12_9034_CEI85A", 13.8, 1,    7893.09,   -0.3,   0.99067, 2,    7893.08, -120.3,   0.99067, 3,    7893.08,  119.7,   0.99067
"SCN_CN12_9074_CEI079", 13.8, 1,    7893.34,   -0.3,    0.9907, 2,    7893.34, -120.3,    0.9907, 3,    7893.34,  119.7,    0.9907
"SCN_CN12_9075_CEI079", 13.8, 1,    7893.34,   -0.3,    0.9907, 2,    7893.33, -120.3,    0.9907, 3,    7893.33,  119.7,    0.9907
"SCN_CN12_9076_CEI079", 13.8, 1,    7893.33,   -0.3,    0.9907, 2,    7893.32, -120.3,    0.9907, 3,    7893.32,  119.7,    0.9907
"SCN_CN12_9093_CEI079", 13.8, 1,    7893.32,   -0.3,    0.9907, 2,    7893.31, -120.3,    0.9907, 3,    7893.31,  119.7,    0.9907
"SCN_CN12_9094_CEI079", 13.8, 1,    7893.31,   -0.3,    0.9907, 2,     7893.3, -120.3,    0.9907, 3,    7893.31,  119.7,    0.9907
"SCN_CN12_9095_CEI079", 13.8, 1,    7893.31,   -0.3,    0.9907, 2,     7893.3, -120.3,    0.9907, 3,     7893.3,  119.7,    0.9907
"SCN_CN12_9096_CEI079", 13.8, 1,     7893.3,   -0.3,    0.9907, 2,    7893.29, -120.3,   0.99069, 3,     7893.3,  119.7,    0.9907
"SCN_CN12_9001_CEI79A", 13.8, 1,     7893.3,   -0.3,   0.99069, 2,    7893.29, -120.3,   0.99069, 3,    7893.29,  119.7,   0.99069
"SCN_CN12_9002_CEI79A", 13.8, 1,    7893.29,   -0.3,   0.99069, 2,    7893.29, -120.3,   0.99069, 3,    7893.29,  119.7,   0.99069
"SCN_CN12_9003_CEI79A", 13.8, 1,    7893.29,   -0.3,   0.99069, 2,    7893.28, -120.3,   0.99069, 3,    7893.28,  119.7,   0.99069
"SCN_CN12_9004_CEI79A", 13.8, 1,    7893.28,   -0.3,   0.99069, 2,    7893.27, -120.3,   0.99069, 3,    7893.28,  119.7,   0.99069
"SCN_CN12_9006_CEI79A", 13.8, 1,    7893.27,   -0.3,   0.99069, 2,    7893.27, -120.3,   0.99069, 3,    7893.27,  119.7,   0.99069
"SCN_CN12_9007_CEI79A", 13.8, 1,    7893.27,   -0.3,   0.99069, 2,    7893.27, -120.3,   0.99069, 3,    7893.27,  119.7,   0.99069
"SCN_CN12_9017_CEI79A", 13.8, 1,    7893.27,   -0.3,   0.99069, 2,    7893.26, -120.3,   0.99069, 3,    7893.27,  119.7,   0.99069
"SCN_CN12_9053_CEI079", 13.8, 1,    7893.31,   -0.3,    0.9907, 2,     7893.3, -120.3,    0.9907, 3,     7893.3,  119.7,    0.9907
"SCN_CN12_9052_CEI079", 13.8, 1,    7893.29,   -0.3,   0.99069, 2,    7893.28, -120.3,   0.99069, 3,    7893.28,  119.7,   0.99069
"SCN_CN12_9001_CEI079", 13.8, 1,    7893.25,   -0.3,   0.99069, 2,    7893.25, -120.3,   0.99069, 3,    7893.25,  119.7,   0.99069
"SCN_CN12_9002_CEI079", 13.8, 1,    7893.23,   -0.3,   0.99069, 2,    7893.22, -120.3,   0.99069, 3,    7893.23,  119.7,   0.99069
"SCN_CN12_9003_CEI079", 13.8, 1,    7893.22,   -0.3,   0.99069, 2,    7893.21, -120.3,   0.99068, 3,    7893.22,  119.7,   0.99068
"SCN_CN12_9174_CEIRJ001_ATV", 13.8, 1,    7893.21,   -0.3,   0.99068, 2,    7893.21, -120.3,   0.99068, 3,    7893.21,  119.7,   0.99068
"SCN_CN12_9004_CEI079", 13.8, 1,     7893.2,   -0.3,   0.99068, 2,     7893.2, -120.3,   0.99068, 3,     7893.2,  119.7,   0.99068
"SCN_CN12_9008_CEI079", 13.8, 1,    7893.18,   -0.3,   0.99068, 2,    7893.17, -120.3,   0.99068, 3,    7893.17,  119.7,   0.99068
"SCN_CN12_9020_CEI079", 13.8, 1,    7893.15,   -0.3,   0.99068, 2,    7893.15, -120.3,   0.99068, 3,    7893.15,  119.7,   0.99068
"SCN_CN12_9026_CEI079", 13.8, 1,    7893.13,   -0.3,   0.99067, 2,    7893.12, -120.3,   0.99067, 3,    7893.13,  119.7,   0.99067
"SCN_CN12_9027_CEI079", 13.8, 1,     7893.1,   -0.3,   0.99067, 2,     7893.1, -120.3,   0.99067, 3,     7893.1,  119.7,   0.99067
"SCN_CN12_9030_CEI079", 13.8, 1,    7893.08,   -0.3,   0.99067, 2,    7893.08, -120.3,   0.99067, 3,    7893.08,  119.7,   0.99067
"SCN_CN12_9165_CEIRJ001_ATV", 13.8, 1,    7893.06,   -0.3,   0.99067, 2,    7893.06, -120.3,   0.99066, 3,    7893.06,  119.7,   0.99067
"SCN_CN12_CEI_FL_MT_1275", 13.8, 1,    7893.51,   -0.3,   0.99072, 2,     7893.5, -120.3,   0.99072, 3,     7893.5,  119.7,   0.99072
"SCN_CN12_9039_CEI033", 13.8, 1,    7893.51,   -0.3,   0.99072, 2,     7893.5, -120.3,   0.99072, 3,     7893.5,  119.7,   0.99072
"SCN_CN12_9086_CEIRJ001_ATV", 13.8, 1,    7893.39,   -0.3,   0.99071, 2,    7893.39, -120.3,   0.99071, 3,    7893.39,  119.7,   0.99071
"SCN_CN12_9036_CEI033", 13.8, 1,    7893.35,   -0.3,    0.9907, 2,    7893.35, -120.3,    0.9907, 3,    7893.35,  119.7,    0.9907
"SCN_CN12_9038_CEI033", 13.8, 1,    7893.51,   -0.3,   0.99072, 2,     7893.5, -120.3,   0.99072, 3,     7893.5,  119.7,   0.99072
"SCN_CN12_9035_CEI033", 13.8, 1,    7893.92,   -0.3,   0.99077, 2,    7893.92, -120.3,   0.99077, 3,    7893.92,  119.7,   0.99077
"SCN_CN12_9113_CEI033", 13.8, 1,    7894.82,   -0.3,   0.99089, 2,    7894.81, -120.3,   0.99089, 3,    7894.82,  119.7,   0.99089
"SCN_CN12_9034_CEI033", 13.8, 1,     7894.4,   -0.3,   0.99083, 2,    7894.39, -120.3,   0.99083, 3,     7894.4,  119.7,   0.99083
"SCN_CN12_9016_CEI099", 13.8, 1,    7879.67,   -0.4,   0.98898, 2,    7879.66, -120.4,   0.98898, 3,    7879.66,  119.6,   0.98898
"SCN_CN12_9015_CEI099", 13.8, 1,    7879.63,   -0.4,   0.98898, 2,    7879.63, -120.4,   0.98898, 3,    7879.63,  119.6,   0.98898
"SCN_CN12_9068_CEI095", 13.8, 1,    7884.82,   -0.3,   0.98963, 2,    7884.81, -120.3,   0.98963, 3,    7884.81,  119.7,   0.98963
"SCN_CN12_9069_CEI095", 13.8, 1,    7884.81,   -0.3,   0.98963, 2,    7884.81, -120.3,   0.98963, 3,    7884.81,  119.7,   0.98963
