Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    81.1611,   154.55,    81.1608,    34.55,    81.1607,   -85.45,          0,     0.00, 0.000451908,   100.41,    81.1611,   -25.45,    81.1608,  -145.45,    81.1607,    94.55,          0,     0.00, 0.000451908,   -79.59
Line.L_BSB_MT_8921,    29.0984,   155.28,    29.0983,    35.28,    29.0984,   -84.72,          0,     0.00, 0.000150263,    96.81,    29.0984,   -24.72,    29.0983,  -144.72,    29.0984,    95.28,          0,     0.00, 0.000150263,   -83.19
Line.L_BSB_MT_3002,    1.93383,   155.28,    1.93394,    35.28,    1.93397,   -84.72,          0,     0.00, 4.03179E-005,   -82.60,    1.93383,   -24.72,    1.93394,  -144.72,    1.93397,    95.28,          0,     0.00, 4.03179E-005,    97.40
Line.L_BSB_MT_3003,    29.0985,   155.28,    29.0983,    35.28,    29.0985,   -84.72,          0,     0.00, 5.35624E-005,   133.48,    29.0985,   -24.72,    29.0983,  -144.72,    29.0985,    95.28,          0,     0.00, 5.35624E-005,   -46.52
Line.L_BSB_MT_3008,     5.8307,   -24.69,     5.8307,  -144.69,     5.8307,    95.31,          0,     0.00, 7.02953E-007,   143.38,     5.8307,   155.31,     5.8307,    35.31,     5.8307,   -84.69,          0,     0.00, 7.02979E-007,   -36.62
Line.L_BSB_MT_3024,    1.93383,   155.28,    1.93394,    35.28,    1.93397,   -84.72,          0,     0.00, 4.03177E-005,   -82.60,    1.93383,   -24.72,    1.93394,  -144.72,    1.93397,    95.28,          0,     0.00, 4.03176E-005,    97.40
Line.L_BSB_MT_7628,    7.74722,   -24.71,    7.74722,  -144.71,    7.74722,    95.29,          0,     0.00, 9.62732E-007,   143.62,    7.74722,   155.29,    7.74722,    35.29,    7.74722,   -84.71,          0,     0.00, 9.62687E-007,   -36.38
Line.L_BSB_MT_3131, 5.80823E-005,   -44.86, 1.2732E-005,   116.17, 7.97265E-005,   168.37,          0,     0.00, 4.46154E-005,  -162.43, 5.80823E-005,   135.14, 1.27319E-005,   -63.83, 7.97265E-005,   -11.63,          0,     0.00, 4.46155E-005,    17.57
Line.L_BSB_MT_3132, 5.80823E-005,   -44.86, 1.27319E-005,   116.17, 7.97265E-005,   168.37,          0,     0.00, 4.46153E-005,  -162.43, 5.80823E-005,   135.14, 1.27319E-005,   -63.83, 7.97264E-005,   -11.63,          0,     0.00, 4.46153E-005,    17.57
Line.L_BSB_MT_3133, 5.80823E-005,   -44.86, 1.27318E-005,   116.17, 7.97265E-005,   168.37,          0,     0.00, 4.46152E-005,  -162.43, 5.80823E-005,   135.14, 1.27318E-005,   -63.83, 7.97265E-005,   -11.63,          0,     0.00, 4.46153E-005,    17.57
Line.L_BSB_MT_3134,    1.17808,   -24.65,    1.17798,  -144.65,    1.17809,    95.35,          0,     0.00, 0.000109878,    23.74,    1.17808,   155.35,    1.17798,    35.35,    1.17809,   -84.65,          0,     0.00, 0.000109878,  -156.26
Line.L_BSB_MT_3135,    1.17805,   -24.65,    1.17801,  -144.65,    1.17803,    95.36,          0,     0.00, 0.000126305,  -155.69,    1.17805,   155.35,    1.17801,    35.35,    1.17803,   -84.64,          0,     0.00, 0.000126305,    24.31
Line.L_BSB_MT_3136,    1.17805,   -24.65,    1.17801,  -144.65,    1.17803,    95.36,          0,     0.00, 0.000126305,  -155.69,    1.17805,   155.35,    1.17801,    35.35,    1.17803,   -84.64,          0,     0.00, 0.000126305,    24.31
Line.L_BSB_MT_3137,   0.785308,   -24.65,   0.785359,  -144.65,   0.785309,    95.35,          0,     0.00, 8.48857E-005,  -122.19,   0.785308,   155.35,   0.785359,    35.35,   0.785309,   -84.65,          0,     0.00, 8.48856E-005,    57.81
Line.L_BSB_MT_3138,   0.785369,   155.35,   0.785369,    35.35,   0.785369,   -84.65,          0,     0.00, 8.332E-008,   -36.11,   0.785369,   -24.65,   0.785369,  -144.65,   0.785369,    95.35,          0,     0.00, 8.32751E-008,   143.90
Line.L_BSB_MT_3139, 2.55525E-005,   106.77, 3.14963E-005,  -150.16, 3.57946E-005,   -14.23,          0,     0.00, 1.68105E-009,   -20.79, 2.55525E-005,   -73.23, 3.14964E-005,    29.84, 3.57947E-005,   165.77,          0,     0.00, 1.69859E-009,   153.00
Line.L_BSB_MT_3144,     5.8307,   -24.69,     5.8307,  -144.69,     5.8307,    95.31,          0,     0.00, 7.03064E-007,   143.37,     5.8307,   155.31,     5.8307,    35.31,     5.8307,   -84.69,          0,     0.00, 7.03093E-007,   -36.63
Line.L_BSB_MT_3147,    29.0985,   155.28,    29.0983,    35.28,    29.0985,   -84.72,          0,     0.00, 5.35624E-005,   133.48,    29.0985,   -24.72,    29.0983,  -144.72,    29.0985,    95.28,          0,     0.00, 5.35625E-005,   -46.52
Line.L_BSB_MT_3148,    26.1917,   155.28,    26.1915,    35.28,    26.1918,   -84.72,          0,     0.00, 0.000147517,  -132.72,    26.1917,   -24.72,    26.1915,  -144.72,    26.1918,    95.28,          0,     0.00, 0.000147517,    47.28
Line.L_BSB_MT_3149,    8.90941,   155.29,    8.90954,    35.29,    8.90947,   -84.71,          0,     0.00, 0.000142606,   -12.71,    8.90941,   -24.71,    8.90954,  -144.71,    8.90947,    95.29,          0,     0.00, 0.000142606,   167.29
