Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    1298.35,   140.26,    1298.35,    20.26,    1298.35,   -99.74,          0,     0.00, 0.00010477,   102.14,    1298.35,   -39.74,    1298.35,  -159.74,    1298.35,    80.26,          0,     0.00, 0.00010477,   -77.86
Line.L_CEI_MT_10922A2981,    1298.35,   -39.74,    1298.35,  -159.74,    1298.35,    80.26,          0,     0.00, 0.000104618,   -78.34,    1298.35,   140.26,    1298.35,    20.26,    1298.35,   -99.74,          0,     0.00, 0.000104618,   101.66
Line.L_CEI_MT_10923A6507,    1274.27,   -39.70,    1274.27,  -159.70,    1274.27,    80.30,          0,     0.00, 0.000103488,   -78.03,    1274.27,   140.30,    1274.27,    20.30,    1274.27,   -99.70,          0,     0.00, 0.000103486,   101.97
Line.L_CEI_MT_10924A2983,    1274.27,   140.30,    1274.27,    20.30,    1274.27,   -99.70,          0,     0.00, 0.000103489,   101.98,    1274.27,   -39.70,    1274.27,  -159.70,    1274.27,    80.30,          0,     0.00, 0.00010349,   -78.03
Line.L_CEI_MT_10925A2984,    1274.27,   140.30,    1274.27,    20.30,    1274.27,   -99.70,          0,     0.00, 0.000103492,   101.97,    1274.27,   -39.70,    1274.27,  -159.70,    1274.27,    80.30,          0,     0.00, 0.000103494,   -78.03
Line.L_CEI_MT_10926A2985,    1274.27,   140.30,    1274.27,    20.30,    1274.27,   -99.70,          0,     0.00, 0.00010349,   101.97,    1274.27,   -39.70,    1274.27,  -159.70,    1274.27,    80.30,          0,     0.00, 0.000103492,   -78.03
Line.L_CEI_MT_10927A6511,    1274.27,   140.30,    1274.27,    20.30,    1274.27,   -99.70,          0,     0.00, 0.000102345,   102.29,    1274.27,   -39.70,    1274.27,  -159.70,    1274.27,    80.30,          0,     0.00, 0.000102346,   -77.71
Line.L_CEI_MT_10928A2987,    1258.23,   140.32,    1258.23,    20.32,    1258.23,   -99.68,          0,     0.00, 0.000102362,   102.29,    1258.23,   -39.68,    1258.23,  -159.68,    1258.23,    80.32,          0,     0.00, 0.000102357,   -77.71
Line.L_CEI_MT_10929A2988,    1258.23,   140.32,    1258.23,    20.32,    1258.23,   -99.68,          0,     0.00, 0.000102361,   102.29,    1258.23,   -39.68,    1258.23,  -159.68,    1258.23,    80.32,          0,     0.00, 0.000102362,   -77.71
Line.L_CEI_MT_10930A2989,    1258.23,   140.32,    1258.23,    20.32,    1258.23,   -99.68,          0,     0.00, 0.000102361,   102.28,    1258.23,   -39.68,    1258.23,  -159.68,    1258.23,    80.32,          0,     0.00, 0.000102362,   -77.71
Line.L_CEI_MT_10931A2990,    1258.23,   140.32,    1258.23,    20.32,    1258.23,   -99.68,          0,     0.00, 0.000102366,   102.29,    1258.23,   -39.68,    1258.23,  -159.68,    1258.23,    80.32,          0,     0.00, 0.000102363,   -77.72
Line.L_CEI_MT_10932A6516,    1258.23,   140.32,    1258.23,    20.32,    1258.23,   -99.68,          0,     0.00, 0.000101223,   102.60,    1258.23,   -39.68,    1258.23,  -159.68,    1258.23,    80.32,          0,     0.00, 0.000101222,   -77.40
Line.L_CEI_MT_10933A6517,    1242.22,   -39.66,    1242.22,  -159.66,    1242.22,    80.34,          0,     0.00, 0.000101239,   -77.39,    1242.22,   140.34,    1242.22,    20.34,    1242.22,   -99.66,          0,     0.00, 0.000101242,   102.61
Line.L_CEI_MT_10934A6518,    1242.22,   140.34,    1242.22,    20.34,    1242.22,   -99.66,          0,     0.00, 0.000101245,   102.61,    1242.22,   -39.66,    1242.22,  -159.66,    1242.22,    80.34,          0,     0.00, 0.000101242,   -77.39
Line.L_CEI_MT_10935A2994,    1242.22,   140.34,    1242.22,    20.34,    1242.22,   -99.66,          0,     0.00, 0.000101239,   102.61,    1242.22,   -39.66,    1242.22,  -159.66,    1242.22,    80.34,          0,     0.00, 0.000101241,   -77.39
Line.L_CEI_MT_10936A2995,    1242.22,   140.34,    1242.22,    20.34,    1242.22,   -99.66,          0,     0.00, 0.000101247,   102.61,    1242.22,   -39.66,    1242.22,  -159.66,    1242.22,    80.34,          0,     0.00, 0.000101247,   -77.40
Line.L_CEI_MT_10937A2996,    1242.22,   -39.66,    1242.22,  -159.66,    1242.22,    80.34,          0,     0.00, 0.000100104,   -77.07,    1242.22,   140.34,    1242.22,    20.34,    1242.22,   -99.66,          0,     0.00, 0.000100105,   102.93
Line.L_CEI_MT_10938A2997,    1226.23,   140.37,    1226.23,    20.37,    1226.23,   -99.63,          0,     0.00, 0.000100123,   102.93,    1226.23,   -39.63,    1226.23,  -159.63,    1226.23,    80.37,          0,     0.00, 0.000100125,   -77.07
Line.L_CEI_MT_10939A2998,    471.402,   138.56,    471.402,    18.56,    471.402,  -101.44,          0,     0.00, 4.86869E-005,   103.62,    471.402,   -41.44,    471.402,  -161.44,    471.402,    78.56,          0,     0.00, 4.86878E-005,   -76.38
Line.L_CEI_MT_10940A6524,    471.402,   138.56,    471.402,    18.56,    471.402,  -101.44,          0,     0.00, 4.61103E-005,    97.57,    471.402,   -41.44,    471.402,  -161.44,    471.402,    78.56,          0,     0.00, 4.61106E-005,   -82.44
Line.L_CEI_MT_10941A6525,    471.402,   -41.44,    471.402,  -161.44,    471.402,    78.56,          0,     0.00, 4.6112E-005,   -82.42,    471.402,   138.56,    471.402,    18.56,    471.402,  -101.44,          0,     0.00, 4.6109E-005,    97.58
Line.L_CEI_MT_10942A3001,    471.402,   -41.44,    471.402,  -161.44,    471.402,    78.56,          0,     0.00, 4.61064E-005,   -82.43,    471.402,   138.56,    471.402,    18.56,    471.402,  -101.44,          0,     0.00, 4.61065E-005,    97.57
Line.L_CEI_MT_10943A3002,    471.402,   -41.44,    471.402,  -161.44,    471.402,    78.56,          0,     0.00, 4.61067E-005,   -82.43,    471.402,   138.56,    471.402,    18.56,    471.402,  -101.44,          0,     0.00, 4.6104E-005,    97.57
Line.L_CEI_MT_10944A3003,    479.396,   -41.44,    479.396,  -161.44,    479.396,    78.56,          0,     0.00, 4.60971E-005,   -82.43,    479.396,   138.56,    479.396,    18.56,    479.396,  -101.44,          0,     0.00, 4.60967E-005,    97.57
Line.L_CEI_MT_10945A3004,    479.396,   -41.44,    479.396,  -161.44,    479.396,    78.56,          0,     0.00, 4.60945E-005,   -82.43,    479.396,   138.56,    479.396,    18.56,    479.396,  -101.44,          0,     0.00, 4.60945E-005,    97.57
Line.L_CEI_MT_10946A6530,    479.396,   -41.44,    479.396,  -161.44,    479.396,    78.56,          0,     0.00, 4.60959E-005,   -82.44,    479.396,   138.56,    479.396,    18.56,    479.396,  -101.44,          0,     0.00, 4.60965E-005,    97.56
Line.L_CEI_MT_10947A6531,    479.396,   -41.44,    479.396,  -161.44,    479.396,    78.56,          0,     0.00, 4.60937E-005,   -82.43,    479.396,   138.56,    479.396,    18.56,    479.396,  -101.44,          0,     0.00, 4.60926E-005,    97.57
Line.L_CEI_MT_14554AA3502, 1.91997E-009,    75.96, 2.71525E-009,    59.04, 1.91997E-009,    75.96,          0,     0.00, 6.48591E-009,    68.96, 2.79397E-009,   -90.00, 2.32831E-009,   -90.00, 2.0825E-009,  -116.57,          0,     0.00, 7.04673E-009,   -97.59
Line.L_CEI_MT_10948A6532,    20.7936,   138.54,    20.7936,    18.54,    20.7936,  -101.46,          0,     0.00, 1.2659E-006,    75.34,    20.7936,   -41.46,    20.7936,  -161.46,    20.7936,    78.54,          0,     0.00, 1.26343E-006,  -104.73
Line.L_CEI_MT_10949A3008,    20.7936,   138.54,    20.7936,    18.54,    20.7936,  -101.46,          0,     0.00, 1.25512E-006,    75.12,    20.7936,   -41.46,    20.7936,  -161.46,    20.7936,    78.54,          0,     0.00, 1.2541E-006,  -104.87
Line.L_CEI_MT_10950A6534,     15.995,   138.54,     15.995,    18.54,     15.995,  -101.46,          0,     0.00, 1.26461E-006,    75.56,     15.995,   -41.46,     15.995,  -161.46,     15.995,    78.54,          0,     0.00, 1.26383E-006,  -104.47
Line.L_CEI_MT_10951A6535,    726.455,   141.61,    726.455,    21.61,    726.455,   -98.39,          0,     0.00, 5.2766E-005,   109.96,    726.455,   -38.39,    726.455,  -158.39,    726.455,    81.61,          0,     0.00, 5.27639E-005,   -70.04
Line.L_CEI_MT_10952A6536,    726.455,   141.61,    726.455,    21.61,    726.455,   -98.39,          0,     0.00, 5.27622E-005,   109.96,    726.455,   -38.39,    726.455,  -158.39,    726.455,    81.61,          0,     0.00, 5.27578E-005,   -70.04
Line.L_CEI_MT_10953A6537,    726.455,   141.61,    726.455,    21.61,    726.455,   -98.39,          0,     0.00, 5.27622E-005,   109.95,    726.455,   -38.39,    726.455,  -158.39,    726.455,    81.61,          0,     0.00, 5.27608E-005,   -70.04
Line.L_CEI_MT_10954A6538,    726.455,   141.61,    726.455,    21.61,    726.455,   -98.39,          0,     0.00, 5.276E-005,   109.96,    726.455,   -38.39,    726.455,  -158.39,    726.455,    81.61,          0,     0.00, 5.27641E-005,   -70.04
Line.L_CEI_MT_10955A6886,    726.455,   141.61,    726.455,    21.61,    726.455,   -98.39,          0,     0.00, 5.27665E-005,   109.95,    726.455,   -38.39,    726.455,  -158.39,    726.455,    81.61,          0,     0.00, 5.27678E-005,   -70.04
Line.L_CEI_MT_10956A3362,    721.668,   141.63,    721.668,    21.63,    721.668,   -98.37,          0,     0.00, 5.17634E-005,   108.72,    721.668,   -38.37,    721.668,  -158.37,    721.668,    81.63,          0,     0.00, 5.17592E-005,   -71.28
Line.L_CEI_MT_10959A6539,    4.79319,   138.55,    4.79319,    18.55,    4.79319,  -101.45,          0,     0.00, 5.68412E-009,   -34.99,    4.79319,   -41.45,    4.79319,  -161.45,    4.79319,    78.55,          0,     0.00, 6.98492E-009,   143.13
Line.L_CEI_MT_10960A6540, 1.91997E-009,   -75.96, 2.98169E-009,  -141.34, 2.32831E-009,   126.87,          0,     0.00, 3.75428E-009,  -150.26, 1.47255E-009,    18.43, 2.32831E-009,     0.00, 1.91997E-009,   -75.96,          0,     0.00, 4.41765E-009,   -18.43
Line.L_CEI_MT_10961A6541,    7.98643,   -41.45,    7.98643,  -161.45,    7.98643,    78.55,          0,     0.00, 1.49955E-008,   115.77,    7.98643,   138.55,    7.98643,    18.55,    7.98643,  -101.45,          0,     0.00, 1.47255E-008,   -71.57
Line.L_CEI_MT_10962A6542,    716.882,   141.65,    716.882,    21.65,    716.882,   -98.35,          0,     0.00, 5.20731E-005,   109.40,    716.882,   -38.35,    716.882,  -158.35,    716.882,    81.65,          0,     0.00, 5.20727E-005,   -70.60
Line.L_CEI_MT_10963A3018,    716.882,   141.65,    716.882,    21.65,    716.882,   -98.35,          0,     0.00, 5.20596E-005,   109.40,    716.882,   -38.35,    716.882,  -158.35,    716.882,    81.65,          0,     0.00, 5.20545E-005,   -70.60
Line.L_CEI_MT_10964A6923,    4.79319,   -41.45,    4.79319,  -161.45,    4.79319,    78.55,          0,     0.00, 7.01681E-007,   173.45,    4.79319,   138.55,    4.79319,    18.55,    4.79319,  -101.45,          0,     0.00, 6.9855E-007,    -6.66
Line.L_CEI_MT_10965A6544,    721.668,   141.63,    721.668,    21.63,    721.668,   -98.37,          0,     0.00, 5.17507E-005,   108.71,    721.668,   -38.37,    721.668,  -158.37,    721.668,    81.63,          0,     0.00, 5.17464E-005,   -71.29
Line.L_CEI_MT_10966A3020, 2.0825E-009,  -153.43, 6.58545E-010,   -45.00, 1.39698E-009,   180.00,          0,     0.00, 3.12375E-009,  -153.43, 4.65661E-010,    90.00, 2.0825E-009,   116.57, 9.31323E-010,     0.00,          0,     0.00, 2.32831E-009,    90.00
Line.L_CEI_MT_10967A3021,    708.907,   -38.31,    708.907,  -158.31,    708.907,    81.69,          0,     0.00, 5.07791E-005,   -70.69,    708.907,   141.69,    708.907,    21.69,    708.907,   -98.31,          0,     0.00, 5.07764E-005,   109.31
Line.L_CEI_MT_10968A6547,    708.907,   141.69,    708.907,    21.69,    708.907,   -98.31,          0,     0.00, 5.07832E-005,   109.30,    708.907,   -38.31,    708.907,  -158.31,    708.907,    81.69,          0,     0.00, 5.07843E-005,   -70.70
Line.L_CEI_MT_10969A3023,    708.907,   141.69,    708.907,    21.69,    708.907,   -98.31,          0,     0.00, 5.07824E-005,   109.30,    708.907,   -38.31,    708.907,  -158.31,    708.907,    81.69,          0,     0.00, 5.07818E-005,   -70.70
Line.L_CEI_MT_10970A3024,    708.907,   141.69,    708.907,    21.69,    708.907,   -98.31,          0,     0.00, 5.07837E-005,   109.30,    708.907,   -38.31,    708.907,  -158.31,    708.907,    81.69,          0,     0.00, 5.07834E-005,   -70.70
Line.L_CEI_MT_10971A3025,    708.907,   141.69,    708.907,    21.69,    708.907,   -98.31,          0,     0.00, 5.07897E-005,   109.29,    708.907,   -38.31,    708.907,  -158.31,    708.907,    81.69,          0,     0.00, 5.07856E-005,   -70.71
Line.L_CEI_MT_10972A3026,    708.907,   141.69,    708.907,    21.69,    708.907,   -98.31,          0,     0.00, 5.0786E-005,   109.29,    708.907,   -38.31,    708.907,  -158.31,    708.907,    81.69,          0,     0.00, 5.07834E-005,   -70.71
Line.L_CEI_MT_10973A6552,    2.12796,   138.56,    2.12796,    18.56,    2.12796,  -101.44,          0,     0.00, 6.0536E-009,    22.62,    2.12796,   -41.44,    2.12796,  -161.44,    2.12796,    78.56,          0,     0.00, 7.00042E-009,   176.19
Line.L_CEI_MT_10974A6925,    2.12796,   138.56,    2.12796,    18.56,    2.12796,  -101.44,          0,     0.00, 5.01533E-009,   -68.20,    2.12796,   -41.44,    2.12796,  -161.44,    2.12796,    78.56,          0,     0.00, 8.39483E-009,   109.44
Line.L_CEI_MT_10975A6926,    2.12796,   138.56,    2.12796,    18.56,    2.12796,  -101.44,          0,     0.00, 4.79428E-009,    29.05,    2.12796,   -41.44,    2.12796,  -161.44,    2.12796,    78.56,          0,     0.00, 4.21674E-009,  -173.66
Line.L_CEI_MT_10976A3028,    706.782,   141.69,    706.782,    21.69,    706.782,   -98.31,          0,     0.00, 4.94902E-005,   109.20,    706.782,   -38.31,    706.782,  -158.31,    706.782,    81.69,          0,     0.00, 4.94898E-005,   -70.80
Line.L_CEI_MT_10977A3029,    706.782,   141.69,    706.782,    21.69,    706.782,   -98.31,          0,     0.00, 4.94919E-005,   109.19,    706.782,   -38.31,    706.782,  -158.31,    706.782,    81.69,          0,     0.00, 4.94918E-005,   -70.80
Line.L_CEI_MT_10978A6555, 4.65661E-010,    90.00, 2.32831E-009,  -143.13, 3.72529E-009,   -90.00,          0,     0.00, 5.01533E-009,  -111.80,          0,     0.00, 2.83251E-009,     9.46,          0,     0.00,          0,     0.00, 2.83251E-009,     9.46
Line.L_CEI_MT_10979A3031,    4.78592,   138.56,    4.78592,    18.56,    4.78592,  -101.44,          0,     0.00, 3.45854E-007,  -164.30,    4.78592,   -41.44,    4.78592,  -161.44,    4.78592,    78.56,          0,     0.00, 3.4713E-007,    15.88
Line.L_CEI_MT_12356A6989,    49.4929,   138.56,    49.4929,    18.56,    49.4929,  -101.44,          0,     0.00, 3.46833E-006,   169.82,    49.4929,   -41.44,    49.4929,  -161.44,    49.4929,    78.56,          0,     0.00, 3.46804E-006,   -10.19
Line.L_CEI_MT_12357A6990,    49.4929,   -41.44,    49.4929,  -161.44,    49.4929,    78.56,          0,     0.00, 3.47058E-006,   -10.21,    49.4929,   138.56,    49.4929,    18.56,    49.4929,  -101.44,          0,     0.00, 3.47291E-006,   169.84
Line.L_CEI_MT_12358A6991,    44.7032,   138.56,    44.7032,    18.56,    44.7032,  -101.44,          0,     0.00, 2.02407E-006,   179.01,    44.7032,   -41.44,    44.7032,  -161.44,    44.7032,    78.56,          0,     0.00, 2.02131E-006,    -1.06
Line.L_CEI_MT_12359A3449,    4.78968,   138.56,    4.78968,    18.56,    4.78968,  -101.44,          0,     0.00, 1.50928E-006,   157.53,    4.78968,   -41.44,    4.78968,  -161.44,    4.78968,    78.56,          0,     0.00, 1.50842E-006,   -22.49
Line.L_CEI_MT_12360A3450, 1.67897E-009,   -56.31, 2.9451E-009,  -108.43, 2.0825E-009,  -116.57,          0,     0.00, 6.12482E-009,   -98.75, 1.91997E-009,   104.04, 3.39007E-009,    74.05, 2.0825E-009,   116.57,          0,     0.00, 7.00042E-009,    93.81
Line.L_CEI_MT_12361A6994, 6.58545E-010,   -45.00, 1.97563E-009,   135.00, 2.63418E-009,   135.00,          0,     0.00, 3.95127E-009,   135.00, 1.04125E-009,    26.57, 2.32831E-009,   -36.87, 2.0825E-009,   -63.43,          0,     0.00, 4.65661E-009,   -36.87
Line.L_CEI_MT_12362A6995, 2.0825E-009,    26.57, 4.29318E-009,   -12.53,          0,     0.00,          0,     0.00, 6.0536E-009,     0.00, 1.31709E-009,  -135.00, 1.67897E-009,   146.31, 1.86265E-009,   180.00,          0,     0.00, 4.19095E-009,   180.00
Line.L_CEI_MT_12363A6688, 1.04125E-009,   153.43, 2.98169E-009,    51.34, 4.65661E-010,   180.00,          0,     0.00, 2.83251E-009,    80.54, 3.83994E-009,    14.04, 1.67897E-009,   -56.31, 4.65661E-010,   180.00,          0,     0.00, 4.21674E-009,    -6.34
Line.L_CEI_MT_12364A6689, 3.12375E-009,    63.43, 3.83994E-009,    14.04, 3.83994E-009,    75.96,          0,     0.00, 9.59985E-009,    50.91, 1.04125E-009,  -116.57, 1.91997E-009,  -165.96, 3.83994E-009,  -104.04,          0,     0.00, 6.07148E-009,  -122.47
Line.L_CEI_MT_12365A3165,    7.98144,   -41.44,    7.98144,  -161.44,    7.98144,    78.56,          0,     0.00, 1.40086E-008,   111.45,    7.98144,   138.56,    7.98144,    18.56,    7.98144,  -101.44,          0,     0.00, 1.64636E-008,   -61.26
Line.L_CEI_MT_12366A3166,    7.98144,   -41.44,    7.98144,  -161.44,    7.98144,    78.56,          0,     0.00, 1.84216E-008,   106.14,    7.98144,   138.56,    7.98144,    18.56,    7.98144,  -101.44,          0,     0.00, 2.22594E-008,   -74.22
