Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"S06_0614_11459241", 13.8, 1,    7866.79,   -0.4,   0.98737, 2,    7866.79, -120.4,   0.98737, 3,    7866.79,  119.6,   0.98737
"S06_0614_11459240", 13.8, 1,    7867.53,   -0.4,   0.98746, 2,    7867.53, -120.4,   0.98746, 3,    7867.53,  119.6,   0.98746
"S06_0614_11458669", 13.8, 1,    7868.26,   -0.4,   0.98755, 2,    7868.26, -120.4,   0.98755, 3,    7868.26,  119.6,   0.98755
"S06_0614_11458668", 13.8, 1,    7868.99,   -0.4,   0.98764, 2,    7868.99, -120.4,   0.98764, 3,    7868.99,  119.6,   0.98764
"S06_0614_11459242", 13.8, 1,    7869.72,   -0.4,   0.98774, 2,    7869.72, -120.4,   0.98774, 3,    7869.72,  119.6,   0.98774
"S06_0614_11459243", 13.8, 1,    7870.46,   -0.4,   0.98783, 2,    7870.46, -120.4,   0.98783, 3,    7870.46,  119.6,   0.98783
"S06_0614_11459244", 13.8, 1,    7871.19,   -0.4,   0.98792, 2,    7871.19, -120.4,   0.98792, 3,    7871.19,  119.6,   0.98792
"S06_0614_11459245", 13.8, 1,    7871.92,   -0.4,   0.98801, 2,    7871.92, -120.4,   0.98801, 3,    7871.92,  119.6,   0.98801
"S06_0614_11458665", 13.8, 1,    7872.65,   -0.4,    0.9881, 2,    7872.65, -120.4,    0.9881, 3,    7872.65,  119.6,    0.9881
"S06_0614_11458664", 13.8, 1,    7873.39,   -0.4,    0.9882, 2,    7873.39, -120.4,    0.9882, 3,    7873.39,  119.6,    0.9882
"S06_0614_11454864", 13.8, 1,    7874.12,   -0.4,   0.98829, 2,    7874.12, -120.4,   0.98829, 3,    7874.12,  119.6,   0.98829
"S06_0614_11458663", 13.8, 1,    7874.85,   -0.4,   0.98838, 2,    7874.85, -120.4,   0.98838, 3,    7874.85,  119.6,   0.98838
"S06_0614_11459251", 13.8, 1,    7875.58,   -0.4,   0.98847, 2,    7875.58, -120.4,   0.98847, 3,    7875.58,  119.6,   0.98847
"S06_0614_11459252", 13.8, 1,    7876.32,   -0.4,   0.98856, 2,    7876.32, -120.4,   0.98856, 3,    7876.32,  119.6,   0.98856
"S06_0614_11464608", 13.8, 1,    7877.05,   -0.4,   0.98866, 2,    7877.05, -120.4,   0.98866, 3,    7877.05,  119.6,   0.98866
"S06_0614_PT_CH1_104_S", 13.8, 1,    7889.57,   -0.4,   0.99023, 2,    7889.57, -120.4,   0.99023, 3,    7889.57,  119.6,   0.99023
"S06_0614_PT_TF_104", 13.8, 1,    7889.49,   -0.4,   0.99022, 2,    7889.49, -120.4,   0.99022, 3,    7889.49,  119.6,   0.99022
"S06_0614_PT_CH1_107_S", 13.8, 1,     7889.8,   -0.4,   0.99026, 2,     7889.8, -120.4,   0.99026, 3,     7889.8,  119.6,   0.99026
"S06_0614_PT_TF_107", 13.8, 1,    7889.65,   -0.4,   0.99024, 2,    7889.65, -120.4,   0.99024, 3,    7889.65,  119.6,   0.99024
"S06_0614_PT_CH1_111_S", 13.8, 1,    7886.84,   -0.4,   0.98988, 2,    7886.84, -120.4,   0.98988, 3,    7886.84,  119.6,   0.98988
"S06_0614_PT_TF_111", 13.8, 1,    7886.69,   -0.4,   0.98987, 2,    7886.69, -120.4,   0.98987, 3,    7886.69,  119.6,   0.98987
"S06_0614_PT_CH1_113_S", 13.8, 1,    7886.91,   -0.4,   0.98989, 2,    7886.91, -120.4,   0.98989, 3,    7886.91,  119.6,   0.98989
"S06_0614_PT_TF_113", 13.8, 1,    7886.83,   -0.4,   0.98988, 2,    7886.83, -120.4,   0.98988, 3,    7886.83,  119.6,   0.98988
"S06_0614_PT_CH1_115_S", 13.8, 1,    7887.72,   -0.4,   0.98999, 2,    7887.72, -120.4,   0.98999, 3,    7887.72,  119.6,   0.98999
"S06_0614_PT_TF_115", 13.8, 1,    7887.64,   -0.4,   0.98999, 2,    7887.64, -120.4,   0.98999, 3,    7887.64,  119.6,   0.98999
"S06_0614_11464609", 13.8, 1,    7877.78,   -0.4,   0.98875, 2,    7877.78, -120.4,   0.98875, 3,    7877.78,  119.6,   0.98875
"S06_0614_11459250", 13.8, 1,    7878.51,   -0.4,   0.98884, 2,    7878.51, -120.4,   0.98884, 3,    7878.51,  119.6,   0.98884
"S06_0614_11459246", 13.8, 1,    7879.25,   -0.4,   0.98893, 2,    7879.25, -120.4,   0.98893, 3,    7879.25,  119.6,   0.98893
"S06_0614_11459247", 13.8, 1,    7879.98,   -0.4,   0.98902, 2,    7879.98, -120.4,   0.98902, 3,    7879.98,  119.6,   0.98902
"S06_0614_11459249", 13.8, 1,    7880.71,   -0.4,   0.98912, 2,    7880.71, -120.4,   0.98912, 3,    7880.71,  119.6,   0.98912
"S06_0614_11464610", 13.8, 1,    7881.44,   -0.4,   0.98921, 2,    7881.44, -120.4,   0.98921, 3,    7881.44,  119.6,   0.98921
"S06_0614_11231082", 13.8, 1,    7883.06,   -0.4,   0.98941, 2,    7883.06, -120.4,   0.98941, 3,    7883.06,  119.6,   0.98941
"S06_0614_11231076", 13.8, 1,    7881.74,   -0.4,   0.98924, 2,    7881.74, -120.4,   0.98924, 3,    7881.74,  119.6,   0.98924
"S06_0614_11231088", 13.8, 1,    7881.88,   -0.4,   0.98926, 2,    7881.88, -120.4,   0.98926, 3,    7881.88,  119.6,   0.98926
"S06_0614_11231077", 13.8, 1,    7881.59,   -0.4,   0.98923, 2,    7881.59, -120.4,   0.98923, 3,    7881.59,  119.6,   0.98923
"S06_0614_11231084", 13.8, 1,    7881.45,   -0.4,   0.98921, 2,    7881.45, -120.4,   0.98921, 3,    7881.45,  119.6,   0.98921
"S06_0614_11231085", 13.8, 1,     7881.3,   -0.4,   0.98919, 2,     7881.3, -120.4,   0.98919, 3,     7881.3,  119.6,   0.98919
"S06_0614_11231078", 13.8, 1,    7881.15,   -0.4,   0.98917, 2,    7881.15, -120.4,   0.98917, 3,    7881.15,  119.6,   0.98917
"S06_0614_11231079", 13.8, 1,    7881.01,   -0.4,   0.98915, 2,    7881.01, -120.4,   0.98915, 3,    7881.01,  119.6,   0.98915
"S06_0614_11295801", 13.8, 1,    7880.86,   -0.4,   0.98913, 2,    7880.86, -120.4,   0.98913, 3,    7880.86,  119.6,   0.98913
"S06_0614_11295800", 13.8, 1,    7880.71,   -0.4,   0.98912, 2,    7880.71, -120.4,   0.98912, 3,    7880.71,  119.6,   0.98912
"S06_0614_11295799", 13.8, 1,    7880.57,   -0.4,    0.9891, 2,    7880.57, -120.4,    0.9891, 3,    7880.57,  119.6,    0.9891
"S06_0614_11264599", 13.8, 1,    7880.42,   -0.4,   0.98908, 2,    7880.42, -120.4,   0.98908, 3,    7880.42,  119.6,   0.98908
"S06_0614_11264603", 13.8, 1,    7880.27,   -0.4,   0.98906, 2,    7880.27, -120.4,   0.98906, 3,    7880.27,  119.6,   0.98906
"S06_0614_11264604", 13.8, 1,    7880.13,   -0.4,   0.98904, 2,    7880.13, -120.4,   0.98904, 3,    7880.13,  119.6,   0.98904
"S06_0614_11264598", 13.8, 1,    7879.98,   -0.4,   0.98902, 2,    7879.98, -120.4,   0.98902, 3,    7879.98,  119.6,   0.98902
"S06_0614_11254888", 13.8, 1,    7879.83,   -0.4,   0.98901, 2,    7879.83, -120.4,   0.98901, 3,    7879.83,  119.6,   0.98901
"S06_0614_11254895", 13.8, 1,    7879.69,   -0.4,   0.98899, 2,    7879.69, -120.4,   0.98899, 3,    7879.69,  119.6,   0.98899
"S06_0614_11254896", 13.8, 1,    7879.83,   -0.4,   0.98901, 2,    7879.83, -120.4,   0.98901, 3,    7879.83,  119.6,   0.98901
"S06_0614_11254889", 13.8, 1,    7879.54,   -0.4,   0.98897, 2,    7879.54, -120.4,   0.98897, 3,    7879.54,  119.6,   0.98897
"S06_0614_11231081", 13.8, 1,    7883.94,   -0.4,   0.98952, 2,    7883.94, -120.4,   0.98952, 3,    7883.94,  119.6,   0.98952
"S06_0614_11231062", 13.8, 1,    7884.81,   -0.4,   0.98963, 2,    7884.81, -120.4,   0.98963, 3,    7884.81,  119.6,   0.98963
"S06_0614_11231086", 13.8, 1,    7885.69,   -0.4,   0.98974, 2,    7885.69, -120.4,   0.98974, 3,    7885.69,  119.6,   0.98974
"S06_0614_11231095", 13.8, 1,    7886.57,   -0.4,   0.98985, 2,    7886.57, -120.4,   0.98985, 3,    7886.57,  119.6,   0.98985
"S06_0614_11231091", 13.8, 1,    7887.45,   -0.4,   0.98996, 2,    7887.45, -120.4,   0.98996, 3,    7887.45,  119.6,   0.98996
"S06_0614_11231090", 13.8, 1,    7888.33,   -0.4,   0.99007, 2,    7888.33, -120.4,   0.99007, 3,    7888.33,  119.6,   0.99007
"S06_0614_11230919", 13.8, 1,    7889.21,   -0.4,   0.99018, 2,    7889.21, -120.4,   0.99018, 3,    7889.21,  119.6,   0.99018
"S06_0614_11230931", 13.8, 1,    7889.42,   -0.4,   0.99021, 2,    7889.42, -120.4,   0.99021, 3,    7889.42,  119.6,   0.99021
"S06_0614_11230917", 13.8, 1,    7889.13,   -0.4,   0.99017, 2,    7889.13, -120.4,   0.99017, 3,    7889.13,  119.6,   0.99017
"S06_0614_11230918", 13.8, 1,    7888.83,   -0.4,   0.99013, 2,    7888.83, -120.4,   0.99013, 3,    7888.83,  119.6,   0.99013
"S06_0614_11230921", 13.8, 1,    7888.53,   -0.4,    0.9901, 2,    7888.53, -120.4,    0.9901, 3,    7888.53,  119.6,    0.9901
"S06_0614_11230928", 13.8, 1,    7888.24,   -0.4,   0.99006, 2,    7888.24, -120.4,   0.99006, 3,    7888.24,  119.6,   0.99006
"S06_0614_11230923", 13.8, 1,     7887.5,   -0.4,   0.98997, 2,     7887.5, -120.4,   0.98997, 3,     7887.5,  119.6,   0.98997
"S06_0614_11230924", 13.8, 1,    7887.28,   -0.4,   0.98994, 2,    7887.28, -120.4,   0.98994, 3,    7887.28,  119.6,   0.98994
"S06_0614_11230925", 13.8, 1,    7887.13,   -0.4,   0.98992, 2,    7887.13, -120.4,   0.98992, 3,    7887.13,  119.6,   0.98992
"S06_0614_11230932", 13.8, 1,     7887.2,   -0.4,   0.98993, 2,     7887.2, -120.4,   0.98993, 3,     7887.2,  119.6,   0.98993
"S06_0614_11230926", 13.8, 1,    7887.13,   -0.4,   0.98992, 2,    7887.13, -120.4,   0.98992, 3,    7887.13,  119.6,   0.98992
"S06_0614_PT_CH1_107", 13.8, 1,     7889.8,   -0.4,   0.99026, 2,     7889.8, -120.4,   0.99026, 3,     7889.8,  119.6,   0.99026
"S06_0614_PT_CH1_104", 13.8, 1,    7889.57,   -0.4,   0.99023, 2,    7889.57, -120.4,   0.99023, 3,    7889.57,  119.6,   0.99023
"S06_0614_PT_CH1_115", 13.8, 1,    7887.72,   -0.4,   0.98999, 2,    7887.72, -120.4,   0.98999, 3,    7887.72,  119.6,   0.98999
"S06_0614_PT_CH1_113", 13.8, 1,    7886.91,   -0.4,   0.98989, 2,    7886.91, -120.4,   0.98989, 3,    7886.91,  119.6,   0.98989
"S06_0614_PT_CH1_725", 13.8, 1,    7879.39,   -0.4,   0.98895, 2,    7879.39, -120.4,   0.98895, 3,    7879.39,  119.6,   0.98895
"06_BA2-13", 13.8, 2,    7849.95, -120.4,   0.98525, 3,    7849.95,  119.6,   0.98525, 8,    7849.95,   -0.4,   0.98525
"S06_0614_11230933_S", 13.8, 1,    7887.72,   -0.4,      0.99, 2,    7887.72, -120.4,      0.99, 3,    7887.72,  119.6,      0.99
"S06_0614_PT_TF_107_BT", 0.38, 1,     195.17,   -4.5,   0.88959, 2,     195.17, -124.5,   0.88959, 3,     195.17,  115.5,   0.88959
"S06_0614_PT_TF_111_BT", 0.38, 1,    195.098,   -4.5,   0.88926, 2,    195.098, -124.5,   0.88926, 3,    195.098,  115.5,   0.88926
"S06_0614_PT_TF_730_BT", 0.38, 1,    194.916,   -4.5,   0.88843, 2,    194.916, -124.5,   0.88843, 3,    194.916,  115.5,   0.88843
"S06_0614_PT_TF_113_BT", 0.38, 1,    195.101,   -4.5,   0.88928, 2,    195.101, -124.5,   0.88928, 3,    195.101,  115.5,   0.88928
"S06_0614_PT_TF_115_BT", 0.38, 1,    195.121,   -4.5,   0.88937, 2,    195.121, -124.5,   0.88937, 3,    195.121,  115.5,   0.88937
"S06_0614_PT_TF_104_BT", 0.38, 1,    195.167,   -4.5,   0.88957, 2,    195.167, -124.5,   0.88957, 3,    195.167,  115.5,   0.88957
