Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    260.908,   154.83,    260.908,    34.83,     260.91,   -85.17,          0,     0.00, 0.00211648,   -79.12,    260.908,   -25.17,    260.908,  -145.17,     260.91,    94.83,          0,     0.00, 0.00211648,   100.88
Line.L_BSB_MT_2356,    1.83553,   154.92,    1.83554,    34.92,    1.83549,   -85.08,          0,     0.00, 1.97497E-005,   128.41,    1.83553,   -25.08,    1.83554,  -145.08,    1.83549,    94.92,          0,     0.00, 1.97496E-005,   -51.59
Line.L_BSB_MT_2357,    39.5648,   -25.14,    39.5649,  -145.14,    39.5648,    94.86,          0,     0.00, 0.00032393,   176.29,    39.5648,   154.86,    39.5649,    34.86,    39.5648,   -85.14,          0,     0.00, 0.00032393,    -3.71
Line.L_BSB_MT_2360,     3.9931,   155.17,    3.99279,    35.17,    3.99287,   -84.83,          0,     0.00, 0.000443064,  -175.49,     3.9931,   -24.83,    3.99279,  -144.83,    3.99287,    95.17,          0,     0.00, 0.000443063,     4.51
Line.L_BSB_MT_2361,    1.72629,   -21.50,    1.72622,  -141.50,    1.72626,    98.50,          0,     0.00, 4.03808E-005,  -179.63,    1.72629,   158.50,    1.72622,    38.50,    1.72626,   -81.50,          0,     0.00, 4.03807E-005,     0.37
Line.L_BSB_MT_8919,    58.5046,   155.16,     58.504,    35.16,    58.5044,   -84.84,          0,     0.00, 0.00122191,  -133.85,    58.5046,   -24.84,     58.504,  -144.84,    58.5044,    95.16,          0,     0.00, 0.00122191,    46.15
Line.L_BSB_MT_8957, 7.83645E-011,    68.20, 8.85158E-011,    -9.46, 8.23181E-011,   -45.00,          0,     0.00, 1.74623E-010,     0.00, 3.25391E-011,   153.43, 9.20344E-011,   161.57, 9.31777E-011,   141.34,          0,     0.00, 2.14856E-010,   151.70
Line.L_BSB_MT_8959,   0.149573,   108.40,   0.149516,   -11.57,   0.149526,  -131.62,          0,     0.00, 0.000157813,   102.02,   0.149573,   -71.60,   0.149516,   168.43,   0.149526,    48.38,          0,     0.00, 0.000157813,   -77.98
Line.L_BSB_MT_8960,   0.725289,   -25.14,   0.725416,  -145.14,   0.725386,    94.86,          0,     0.00, 0.00016595,   164.65,   0.725289,   154.86,   0.725416,    34.86,   0.725386,   -85.14,          0,     0.00, 0.00016595,   -15.35
Line.L_BSB_MT_8962,    29.4904,   -24.84,    29.4899,  -144.84,    29.4903,    95.16,          0,     0.00, 0.000867479,    42.45,    29.4904,   155.16,    29.4899,    35.16,    29.4903,   -84.84,          0,     0.00, 0.000867479,  -137.55
Line.L_BSB_MT_8963,   0.515281,   155.17,   0.515211,    35.17,   0.515205,   -84.84,          0,     0.00, 0.000191768,  -177.88,   0.515281,   -24.83,   0.515211,  -144.83,   0.515205,    95.16,          0,     0.00, 0.000191768,     2.12
Line.L_BSB_MT_8964,   0.515281,   155.17,   0.515211,    35.17,   0.515205,   -84.84,          0,     0.00, 0.000191768,  -177.88,   0.515281,   -24.83,   0.515211,  -144.83,   0.515205,    95.16,          0,     0.00, 0.000191768,     2.12
Line.L_BSB_MT_8965,    8.09336,   -24.85,    8.09363,  -144.85,    8.09352,    95.15,          0,     0.00, 0.000298826,   166.06,    8.09336,   155.15,    8.09363,    35.15,    8.09352,   -84.85,          0,     0.00, 0.000298826,   -13.94
Line.L_BSB_MT_8966,    14.1511,   155.15,    14.1506,    35.15,     14.151,   -84.85,          0,     0.00, 0.000505865,  -164.17,    14.1511,   -24.85,    14.1506,  -144.85,     14.151,    95.15,          0,     0.00, 0.000505865,    15.83
Line.L_BSB_MT_7473,    15.4406,   154.49,    15.4407,    34.49,    15.4408,   -85.51,          0,     0.00, 0.00010259,   -83.63,    15.4406,   -25.51,    15.4407,  -145.51,    15.4408,    94.49,          0,     0.00, 0.00010259,    96.36
Line.L_BSB_MT_7577,    1.83553,   154.92,    1.83554,    34.92,    1.83549,   -85.08,          0,     0.00, 1.97495E-005,   128.41,    1.83553,   -25.08,    1.83554,  -145.08,    1.83549,    94.92,          0,     0.00, 1.97494E-005,   -51.59
Line.L_BSB_MT_7578,    25.0351,   -25.14,    25.0351,  -145.14,    25.0351,    94.86,          0,     0.00, 0.000199557,   164.40,    25.0351,   154.86,    25.0351,    34.86,    25.0351,   -85.14,          0,     0.00, 0.000199557,   -15.60
Line.L_BSB_MT_6345,    260.908,   154.83,    260.908,    34.83,    260.909,   -85.17,          0,     0.00,  0.0019297,   -83.51,    260.908,   -25.17,    260.908,  -145.17,    260.909,    94.83,          0,     0.00,  0.0019297,    96.49
Line.L_BSB_MT_3678,    5.20255,   -24.85,    5.20282,  -144.85,    5.20271,    95.15,          0,     0.00, 0.000299227,   165.99,    5.20255,   155.15,    5.20282,    35.15,    5.20271,   -84.85,          0,     0.00, 0.000299227,   -14.01
Line.L_BSB_MT_3679,    8.09336,   -24.85,    8.09363,  -144.85,    8.09352,    95.15,          0,     0.00, 0.000298826,   166.06,    8.09336,   155.15,    8.09363,    35.15,    8.09352,   -84.85,          0,     0.00, 0.000298826,   -13.94
Line.L_BSB_MT_3680,    8.09336,   155.15,    8.09363,    35.15,    8.09352,   -84.85,          0,     0.00, 0.000298826,   -13.94,    8.09336,   -24.85,    8.09363,  -144.85,    8.09352,    95.15,          0,     0.00, 0.000298826,   166.06
Line.L_BSB_MT_3681,    8.09336,   155.15,    8.09363,    35.15,    8.09352,   -84.85,          0,     0.00, 0.000298826,   -13.94,    8.09336,   -24.85,    8.09363,  -144.85,    8.09352,    95.15,          0,     0.00, 0.000298826,   166.06
Line.L_BSB_MT_3682,    8.09336,   155.15,    8.09363,    35.15,    8.09352,   -84.85,          0,     0.00, 0.000298826,   -13.94,    8.09336,   -24.85,    8.09363,  -144.85,    8.09352,    95.15,          0,     0.00, 0.000298826,   166.06
Line.L_BSB_MT_3683,    8.09336,   155.15,    8.09363,    35.15,    8.09352,   -84.85,          0,     0.00, 0.000298826,   -13.94,    8.09336,   -24.85,    8.09363,  -144.85,    8.09352,    95.15,          0,     0.00, 0.000298826,   166.06
Line.L_BSB_MT_3684,    8.09336,   -24.85,    8.09363,  -144.85,    8.09352,    95.15,          0,     0.00, 0.000298826,   166.06,    8.09336,   155.15,    8.09363,    35.15,    8.09352,   -84.85,          0,     0.00, 0.000298826,   -13.94
Line.L_BSB_MT_3685,    5.53803,   -24.83,    5.53811,  -144.83,    5.53812,    95.17,          0,     0.00, 0.000248299,    82.78,    5.53803,   155.17,    5.53811,    35.17,    5.53812,   -84.83,          0,     0.00, 0.000248299,   -97.22
Line.L_BSB_MT_3686,    3.60602,   -24.83,    3.60613,  -144.83,     3.6062,    95.17,          0,     0.00, 0.000289939,   115.94,    3.60602,   155.17,    3.60613,    35.17,     3.6062,   -84.83,          0,     0.00, 0.000289939,   -64.06
Line.L_BSB_MT_3687,     1.1591,   -24.83,     1.1591,  -144.83,     1.1591,    95.17,          0,     0.00, 2.09735E-007,   -55.90,     1.1591,   155.17,     1.1591,    35.17,     1.1591,   -84.83,          0,     0.00, 2.09763E-007,   124.10
Line.L_BSB_MT_3688,     1.9319,   155.17,     1.9319,    35.17,     1.9319,   -84.83,          0,     0.00, 3.47236E-007,   123.80,     1.9319,   -24.83,     1.9319,  -144.83,     1.9319,    95.17,          0,     0.00, 3.47244E-007,   -56.20
Line.L_BSB_MT_3689,     1.9319,   155.17,     1.9319,    35.17,     1.9319,   -84.83,          0,     0.00, 3.47288E-007,   123.81,     1.9319,   -24.83,     1.9319,  -144.83,     1.9319,    95.17,          0,     0.00, 3.47252E-007,   -56.19
Line.L_BSB_MT_3690, 1.74623E-010,   180.00, 6.50781E-011,  -153.43, 1.30156E-010,  -116.57,          0,     0.00, 3.25391E-010,  -153.43, 1.04935E-010,   -33.69, 6.50781E-011,    26.57, 1.84069E-010,    71.57,          0,     0.00, 2.50361E-010,    35.54
Line.L_BSB_MT_3691, 1.45519E-010,    53.13, 4.1159E-011,    45.00, 5.82077E-011,    90.00,          0,     0.00, 2.34643E-010,    60.26, 8.73115E-011,   -90.00, 1.04935E-010,  -123.69, 5.82077E-011,     0.00,          0,     0.00, 1.74623E-010,   -90.00
Line.L_BSB_MT_3692,    8.09336,   155.15,    8.09363,    35.15,    8.09352,   -84.85,          0,     0.00, 0.000298826,   -13.94,    8.09336,   -24.85,    8.09363,  -144.85,    8.09352,    95.15,          0,     0.00, 0.000298826,   166.06
Line.L_BSB_MT_3729,    3.66185,   155.15,    3.66171,    35.16,    3.66189,   -84.84,          0,     0.00, 7.90562E-005,   -91.36,    3.66185,   -24.85,    3.66171,  -144.84,    3.66189,    95.16,          0,     0.00, 7.90562E-005,    88.64
Line.L_BSB_MT_3747,    57.7266,   -24.84,     57.726,  -144.84,    57.7264,    95.16,          0,     0.00, 0.00115809,    45.45,    57.7266,   155.16,     57.726,    35.16,    57.7264,   -84.84,          0,     0.00, 0.00115809,  -134.55
Line.L_BSB_MT_3749,    57.7266,   -24.84,     57.726,  -144.84,    57.7264,    95.16,          0,     0.00, 0.00115809,    45.45,    57.7266,   155.16,     57.726,    35.16,    57.7264,   -84.84,          0,     0.00, 0.00115809,  -134.55
Line.L_BSB_MT_3750,    57.7266,   -24.84,     57.726,  -144.84,    57.7264,    95.16,          0,     0.00, 0.00115809,    45.45,    57.7266,   155.16,     57.726,    35.16,    57.7264,   -84.84,          0,     0.00, 0.00115809,  -134.55
Line.L_BSB_MT_3751,    57.7266,   -24.84,     57.726,  -144.84,    57.7264,    95.16,          0,     0.00, 0.00115809,    45.45,    57.7266,   155.16,     57.726,    35.16,    57.7264,   -84.84,          0,     0.00, 0.00115809,  -134.55
Line.L_BSB_MT_3754,    56.5648,   -24.84,    56.5643,  -144.84,    56.5647,    95.16,          0,     0.00, 0.00115812,    45.46,    56.5648,   155.16,    56.5643,    35.16,    56.5647,   -84.84,          0,     0.00, 0.00115812,  -134.54
Line.L_BSB_MT_3755,    24.1741,   -24.84,     24.174,  -144.85,    24.1741,    95.15,          0,     0.00, 0.000395785,    52.50,    24.1741,   155.16,     24.174,    35.15,    24.1741,   -84.85,          0,     0.00, 0.000395785,  -127.50
Line.L_BSB_MT_3756,    32.3907,   -24.84,    32.3903,  -144.84,    32.3905,    95.16,          0,     0.00, 0.000766853,    41.83,    32.3907,   155.16,    32.3903,    35.16,    32.3905,   -84.84,          0,     0.00, 0.000766853,  -138.17
Line.L_BSB_MT_3757,    32.3907,   -24.84,    32.3903,  -144.84,    32.3905,    95.16,          0,     0.00, 0.000766853,    41.83,    32.3907,   155.16,    32.3903,    35.16,    32.3905,   -84.84,          0,     0.00, 0.000766853,  -138.17
Line.L_BSB_MT_3758,    8.43643,   -24.83,    8.43657,  -144.83,    8.43658,    95.17,          0,     0.00, 0.000365183,   100.43,    8.43643,   155.17,    8.43657,    35.17,    8.43658,   -84.83,          0,     0.00, 0.000365183,   -79.57
Line.L_BSB_MT_3759,    5.53803,   -24.83,    5.53811,  -144.83,    5.53812,    95.17,          0,     0.00, 0.000248299,    82.78,    5.53803,   155.17,    5.53811,    35.17,    5.53812,   -84.83,          0,     0.00, 0.000248299,   -97.22
Line.L_BSB_MT_3760,    17.0609,   -24.85,    17.0606,  -144.85,    17.0609,    95.15,          0,     0.00, 0.000221005,    29.35,    17.0609,   155.15,    17.0606,    35.15,    17.0609,   -84.85,          0,     0.00, 0.000221005,  -150.65
Line.L_BSB_MT_3761,    17.0609,   -24.85,    17.0606,  -144.85,    17.0609,    95.15,          0,     0.00, 0.000221005,    29.35,    17.0609,   155.15,    17.0606,    35.15,    17.0609,   -84.85,          0,     0.00, 0.000221005,  -150.65
