Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"S06_0613_11230920", 13.8, 1,    7864.79,   -0.5,   0.98712, 2,    7864.79, -120.5,   0.98712, 3,    7864.79,  119.5,   0.98712
"S06_0613_11230913", 13.8, 1,    7864.64,   -0.5,    0.9871, 2,    7864.64, -120.5,    0.9871, 3,    7864.64,  119.5,    0.9871
"S06_0613_11230922", 13.8, 1,    7862.57,   -0.5,   0.98684, 2,    7862.57, -120.5,   0.98684, 3,    7862.57,  119.5,   0.98684
"S06_0613_11230916", 13.8, 1,     7862.5,   -0.5,   0.98683, 2,     7862.5, -120.5,   0.98683, 3,     7862.5,  119.5,   0.98683
"S06_0613_11230929", 13.8, 1,    7864.42,   -0.5,   0.98707, 2,    7864.42, -120.5,   0.98707, 3,    7864.42,  119.5,   0.98707
"S06_0613_11230912", 13.8, 1,    7864.34,   -0.5,   0.98706, 2,    7864.34, -120.5,   0.98706, 3,    7864.34,  119.5,   0.98706
"S06_0613_11230930", 13.8, 1,    7862.65,   -0.5,   0.98685, 2,    7862.65, -120.5,   0.98685, 3,    7862.65,  119.5,   0.98685
"S06_0613_11230933", 13.8, 1,    7862.43,   -0.5,   0.98682, 2,    7862.43, -120.5,   0.98682, 3,    7862.43,  119.5,   0.98682
"S06_0613_PT_CH1_726_S", 13.8, 1,    7848.66,   -0.5,   0.98509, 2,    7848.66, -120.5,   0.98509, 3,    7848.66,  119.5,   0.98509
"S06_0613_PT_TF_731", 13.8, 1,    7848.51,   -0.5,   0.98507, 2,    7848.51, -120.5,   0.98507, 3,    7848.51,  119.5,   0.98507
"S06_0613_PT_CH1_108", 13.8, 1,    7864.49,   -0.5,   0.98708, 2,    7864.49, -120.5,   0.98708, 3,    7864.49,  119.5,   0.98708
"S06_0613_PT_CH1_116", 13.8, 1,    7862.43,   -0.5,   0.98682, 2,    7862.43, -120.5,   0.98682, 3,    7862.43,  119.5,   0.98682
"S06_0613_11230915", 13.8, 1,    7861.69,   -0.5,   0.98673, 2,    7861.69, -120.5,   0.98673, 3,    7861.69,  119.5,   0.98673
"S06_0613_PT_CH1_114", 13.8, 1,    7861.62,   -0.5,   0.98672, 2,    7861.62, -120.5,   0.98672, 3,    7861.62,  119.5,   0.98672
