Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    526.351,   142.91,    526.351,    22.91,    526.351,   -97.09,          0,     0.00, 8.16181E-007,   141.97,    526.351,   -37.09,    526.351,  -157.09,    526.351,    82.91,          0,     0.00, 8.16181E-007,   -38.03
Line.L_65634612,    526.351,   -37.09,    526.351,  -157.09,    526.351,    82.91,          0,     0.00, 1.34892E-007,    23.82,    526.351,   142.91,    526.351,    22.91,    526.351,   -97.09,          0,     0.00, 1.31836E-007,  -154.25
Line.L_65634595, 4.19766E-007,   -47.07, 1.34016E-006,   170.44, 8.5206E-007,    50.90,          0,     0.00, 7.61971E-007,   130.84, 4.20719E-007,   133.07, 1.33878E-006,    -9.57, 8.50616E-007,  -129.18,          0,     0.00, 7.58735E-007,   -49.23
Line.L_65634596, 4.22399E-007,   -47.05, 1.33833E-006,   170.30, 8.50648E-007,    50.62,          0,     0.00, 7.55601E-007,   130.60, 4.22399E-007,   132.95, 1.3349E-006,    -9.78, 8.49209E-007,  -129.46,          0,     0.00, 7.52827E-007,   -49.59
Line.L_TR_FIC_GER_67, 4.23715E-007,   -47.05, 1.33734E-006,   170.32, 8.53531E-007,    50.78,          0,     0.00, 7.56162E-007,   130.38, 4.23398E-007,   132.91, 1.33397E-006,    -9.67, 8.52089E-007,  -129.30,          0,     0.00, 7.52223E-007,   -49.64
Line.L_65634597, 4.23764E-007,   -47.23, 1.34155E-006,   170.33, 8.48878E-007,    50.77,          0,     0.00, 7.58148E-007,   131.04, 4.23422E-007,   132.82, 1.33879E-006,    -9.69, 8.48289E-007,  -129.19,          0,     0.00, 7.57278E-007,   -49.09
Line.L_65634599, 4.2682E-007,   -47.52, 1.34324E-006,   170.26, 8.50648E-007,    50.62,          0,     0.00, 7.5552E-007,   131.03, 4.26792E-007,   132.57, 1.34162E-006,    -9.69, 8.48026E-007,  -129.36,          0,     0.00, 7.53415E-007,   -48.83
Line.L_65634602, 4.28423E-007,   -47.38, 1.34156E-006,   170.21, 8.47731E-007,    50.66,          0,     0.00, 7.53549E-007,   131.02, 4.28794E-007,   132.49, 1.3411E-006,    -9.80, 8.49173E-007,  -129.26,          0,     0.00, 7.54252E-007,   -49.03
Line.L_65634603, 4.26765E-007,   -47.34, 1.34339E-006,   170.22, 8.5206E-007,    50.90,          0,     0.00, 7.60657E-007,   130.83, 4.27396E-007,   132.75, 1.34423E-006,    -9.75, 8.50028E-007,  -129.13,          0,     0.00, 7.59508E-007,   -49.00
Line.L_65634604, 4.27257E-007,   -47.83, 1.34645E-006,   170.28, 8.4511E-007,    50.68,          0,     0.00, 7.57183E-007,   131.81, 4.2729E-007,   132.08, 1.34637E-006,    -9.70, 8.41899E-007,  -129.25,          0,     0.00, 7.57286E-007,   -47.87
Line.L_65634606, 4.27948E-007,   -47.91, 1.3473E-006,   170.19, 8.4131E-007,    50.80,          0,     0.00, 7.59638E-007,   132.07, 4.28293E-007,   132.05, 1.34738E-006,    -9.83, 8.40134E-007,  -129.11,          0,     0.00, 7.60887E-007,   -47.83
Line.L_65634608, 4.27359E-007,   -48.09, 1.34974E-006,   170.29, 8.3896E-007,    50.99,          0,     0.00, 7.63249E-007,   132.63, 4.27048E-007,   131.86, 1.35052E-006,    -9.79, 8.39824E-007,  -128.88,          0,     0.00, 7.67253E-007,   -47.46
Line.L_65634609, 4.29715E-007,   -48.21, 1.35083E-006,   170.14, 8.37497E-007,    51.12,          0,     0.00, 7.65539E-007,   132.66, 4.2871E-007,   131.83, 1.35442E-006,    -9.82, 8.37789E-007,  -128.91,          0,     0.00, 7.68409E-007,   -47.16
Line.L_65634610, 4.34204E-007,   -48.65, 1.35175E-006,   170.14, 8.3722E-007,    50.94,          0,     0.00, 7.59124E-007,   132.96, 4.32582E-007,   131.29, 1.35427E-006,    -9.78, 8.37514E-007,  -129.09,          0,     0.00, 7.61328E-007,   -46.81
Line.L_65634611, 4.39854E-007,   -48.00, 1.35319E-006,   170.25, 8.34014E-007,    51.01,          0,     0.00, 7.53472E-007,   133.07, 4.37223E-007,   131.98, 1.35289E-006,    -9.79, 8.34586E-007,  -128.84,          0,     0.00, 7.58783E-007,   -47.01
Line.L_65634613,    526.351,   -37.09,    526.351,  -157.09,    526.351,    82.91,          0,     0.00, 1.27719E-007,    24.79,    526.351,   142.91,    526.351,    22.91,    526.351,   -97.09,          0,     0.00, 1.26619E-007,  -153.81
