Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.SW_FK0969,    15.5654,   154.96,    15.5657,    34.96,    15.5653,   -85.04,          0,     0.00, 0.00035532,    14.93,    15.5654,   -25.04,    15.5657,  -145.04,    15.5653,    94.96,          0,     0.00, 0.00035532,  -165.07
Line.SW_FM0342,          0,     0.00, 6.82394E-005,   -63.43, 7.62939E-005,   180.00,          0,     0.00, 7.62939E-005,  -126.87,          0,     0.00, 6.82394E-005,   116.57, 7.62939E-005,     0.00,          0,     0.00, 7.62939E-005,    53.13
Line.SW_FP2842, 7.19756E-005,    57.99, 0.000134978,   -42.71, 6.29136E-005,  -104.04,          0,     0.00, 0.000152588,   -36.87, 7.19756E-005,  -122.01, 0.000134978,   137.29, 6.29136E-005,    75.96,          0,     0.00, 0.000152588,   143.13
Line.SW_FP6503, 7.19756E-005,    57.99, 4.8852E-005,  -141.34, 8.63167E-005,   135.00,          0,     0.00, 0.000110033,   123.69, 7.19756E-005,  -122.01, 4.8852E-005,    38.66, 8.63167E-005,   -45.00,          0,     0.00, 0.000110033,   -56.31
Line.SW_FP7075,     10.975,   154.96,    10.9749,    34.96,    10.9751,   -85.03,          0,     0.00, 0.000253957,   -57.26,     10.975,   -25.04,    10.9749,  -145.04,    10.9751,    94.97,          0,     0.00, 0.000253957,   122.74
Line.SW_FP7613, 4.57764E-005,   180.00, 3.41197E-005,  -116.57, 6.29136E-005,    75.96,          0,     0.00, 5.50163E-005,   146.31, 4.57764E-005,     0.00, 3.41197E-005,    63.43, 6.29136E-005,  -104.04,          0,     0.00, 5.50163E-005,   -33.69
Line.SW_FP8288_DP_39175,    13.7335,   154.96,    13.7337,    34.96,    13.7334,   -85.04,          0,     0.00, 0.000370085,    14.32,    13.7335,   -25.04,    13.7337,  -145.04,    13.7334,    94.96,          0,     0.00, 0.000370085,  -165.68
Line.SW_FX9322,    4.13051,   -24.84,    4.13054,  -144.83,    4.13055,    95.17,          0,     0.00, 0.000114441,  -126.87,    4.13051,   155.16,    4.13054,    35.17,    4.13055,   -84.83,          0,     0.00, 0.000114441,    53.13
Line.SW_FP6944, 7.62939E-005,   180.00, 8.63167E-005,  -135.00, 0.00012302,    97.13,          0,     0.00, 0.000164342,   158.20, 7.62939E-005,     0.00, 8.63167E-005,    45.00, 0.00012302,   -82.87,          0,     0.00, 0.000164342,   -21.80
Line.SW_FP5619,    19.9143,   153.47,    19.9142,    33.47,    19.9142,   -86.53,          0,     0.00, 0.000249914,  -121.26,    19.9143,   -26.53,    19.9142,  -146.53,    19.9142,    93.47,          0,     0.00, 0.000249914,    58.74
