Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L_CEI_MT_171881, 1.04125E-009,    63.43, 3.75428E-009,    60.26, 2.0825E-009,    63.43,          0,     0.00, 6.87541E-009,    61.70, 1.39698E-009,   -90.00, 3.63693E-009,  -140.19, 4.165E-009,  -116.57,          0,     0.00, 8.78608E-009,  -122.01
Line.L_CEI_MT_171882, 1.91997E-009,    14.04, 6.58545E-010,   -45.00, 4.65661E-010,   180.00,          0,     0.00, 1.86265E-009,     0.00, 2.0825E-009,   153.43, 1.67897E-009,   123.69, 1.91997E-009,   104.04,          0,     0.00, 5.30936E-009,   127.87
Line.L_CEI_MT_171885,    670.829,   -41.60,    670.829,  -161.60,    670.829,    78.40,          0,     0.00, 8.98921E-005,   -81.01,    670.829,   138.40,    670.829,    18.40,    670.829,  -101.60,          0,     0.00, 8.98925E-005,    98.99
Line.L_CEI_MT_171886, 4.60981E-009,   135.00, 3.72529E-009,     0.00, 3.83994E-009,   104.04,          0,     0.00, 7.00042E-009,    93.81, 4.29318E-009,   -49.40, 4.21674E-009,   173.66, 5.66501E-009,   -80.54,          0,     0.00, 8.39483E-009,   -93.18
Line.L_CEI_MT_171887, 2.32831E-009,    53.13, 3.39007E-009,    15.95, 1.91997E-009,    75.96,          0,     0.00, 6.92255E-009,    42.27, 1.47255E-009,  -108.43, 2.79397E-009,   180.00, 2.32831E-009,  -126.87,          0,     0.00, 5.68412E-009,  -145.01
Line.L_CEI_MT_171888,          0,     0.00, 9.31323E-010,     0.00, 3.75428E-009,    82.87,          0,     0.00, 3.97861E-009,    69.44, 6.58545E-010,  -135.00, 1.86265E-009,   180.00, 2.32831E-009,  -126.87,          0,     0.00, 4.39304E-009,  -147.99
Line.L_CEI_MT_171889,    670.829,   -41.60,    670.829,  -161.60,    670.829,    78.40,          0,     0.00, 8.99006E-005,   -81.01,    670.829,   138.40,    670.829,    18.40,    670.829,  -101.60,          0,     0.00, 8.98995E-005,    98.99
Line.L_CEI_MT_171893,    670.829,   -41.60,    670.829,  -161.60,    670.829,    78.40,          0,     0.00, 8.98995E-005,   -81.02,    670.829,   138.40,    670.829,    18.40,    670.829,  -101.60,          0,     0.00, 8.99003E-005,    98.98
Line.L_CEI_MT_171895, 1.86265E-009,     0.00, 1.04125E-009,   -26.57, 1.91997E-009,    75.96,          0,     0.00, 3.54637E-009,    23.20, 1.97563E-009,   135.00, 4.65661E-010,     0.00, 1.86265E-009,    90.00,          0,     0.00, 3.39007E-009,   105.95
Line.L_CEI_MT_171897,     665.56,   138.40,     665.56,    18.40,     665.56,  -101.60,          0,     0.00, 8.53175E-005,    99.48,     665.56,   -41.60,     665.56,  -161.60,     665.56,    78.40,          0,     0.00, 8.53179E-005,   -80.52
