Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    1016.33,   140.77,    1016.33,    20.77,    1016.33,   -99.23,          0,     0.00, 1.43946E-006,    38.54,    1016.33,   -39.23,    1016.33,  -159.23,    1016.33,    80.77,          0,     0.00, 1.43946E-006,  -141.46
Line.L_65393957,    271.452,   -41.39,    271.452,  -161.39,    271.452,    78.61,          0,     0.00, 1.25077E-006,   179.94,    271.452,   138.61,    271.452,    18.61,    271.452,  -101.39,          0,     0.00, 1.2503E-006,    -0.13
Line.L_65393836,    107.453,   -41.39,    107.453,  -161.39,    107.453,    78.61,          0,     0.00, 8.85477E-007,  -151.68,    107.453,   138.61,    107.453,    18.61,    107.453,  -101.39,          0,     0.00, 8.83305E-007,    28.12
Line.L_65393848,    54.6783,   -41.39,    54.6783,  -161.39,    54.6783,    78.61,          0,     0.00, 5.5368E-007,    96.23,    54.6783,   138.61,    54.6783,    18.61,    54.6783,  -101.39,          0,     0.00, 5.5358E-007,   -83.87
Line.L_65393839,    54.6925,   -41.39,    54.6925,  -161.39,    54.6925,    78.61,          0,     0.00, 5.52555E-007,    96.05,    54.6925,   138.61,    54.6925,    18.61,    54.6925,  -101.39,          0,     0.00, 5.54358E-007,   -84.02
Line.L_70004456,    54.6783,   -41.39,    54.6783,  -161.39,    54.6783,    78.61,          0,     0.00, 5.57505E-007,    95.85,    54.6783,   138.61,    54.6783,    18.61,    54.6783,  -101.39,          0,     0.00, 5.53384E-007,   -84.06
Line.L_70004446,    162.081,   -41.38,    162.081,  -161.38,    162.081,    78.62,          0,     0.00, 1.58959E-006,  -135.89,    162.081,   138.62,    162.081,    18.62,    162.081,  -101.38,          0,     0.00, 1.5896E-006,    44.09
Line.L_TR_SUB_MT_FIC_730,    107.297,   -41.38,    107.297,  -161.38,    107.297,    78.62,          0,     0.00, 2.74898E-008,    10.74,    107.297,   138.62,    107.297,    18.62,    107.297,  -101.38,          0,     0.00, 2.8916E-008,  -165.07
Line.L_TR_SUB_MT_FIC_2689,    107.409,   -41.38,    107.409,  -161.38,    107.409,    78.62,          0,     0.00, 8.87028E-007,  -151.50,    107.409,   138.62,    107.409,    18.62,    107.409,  -101.38,          0,     0.00, 8.87881E-007,    28.54
Line.L_65393843,    54.6721,   -41.38,    54.6721,  -161.38,    54.6721,    78.62,          0,     0.00, 5.58154E-007,    96.47,    54.6721,   138.62,    54.6721,    18.62,    54.6721,  -101.38,          0,     0.00, 5.54456E-007,   -83.93
Line.L_65394108,    107.297,   -41.38,    107.297,  -161.38,    107.297,    78.62,          0,     0.00, 8.47242E-007,  -152.65,    107.297,   138.62,    107.297,    18.62,    107.297,  -101.38,          0,     0.00, 8.4891E-007,    27.37
Line.L_653941089,    107.297,   -41.38,    107.297,  -161.38,    107.297,    78.62,          0,     0.00, 8.55785E-007,  -152.63,    107.297,   138.62,    107.297,    18.62,    107.297,  -101.38,          0,     0.00, 8.5851E-007,    27.45
Line.L_65641095,     530.79,   142.74,     530.79,    22.74,     530.79,   -97.26,          0,     0.00, 1.54528E-006,   173.63,     530.79,   -37.26,     530.79,  -157.26,     530.79,    82.74,          0,     0.00, 1.54446E-006,    -6.25
Line.L_65641102,     530.79,   142.74,     530.79,    22.74,     530.79,   -97.26,          0,     0.00, 1.55109E-006,   173.57,     530.79,   -37.26,     530.79,  -157.26,     530.79,    82.74,          0,     0.00, 1.5495E-006,    -6.37
Line.L_65641111,     530.79,   142.74,     530.79,    22.74,     530.79,   -97.26,          0,     0.00, 1.54798E-006,   173.99,     530.79,   -37.26,     530.79,  -157.26,     530.79,    82.74,          0,     0.00, 1.55018E-006,    -6.12
Line.L_65641120,     530.79,   142.74,     530.79,    22.74,     530.79,   -97.26,          0,     0.00, 1.54704E-006,   174.16,     530.79,   -37.26,     530.79,  -157.26,     530.79,    82.74,          0,     0.00, 1.54952E-006,    -6.05
Line.L_65641129,     530.79,   142.74,     530.79,    22.74,     530.79,   -97.26,          0,     0.00, 1.55617E-006,   174.07,     530.79,   -37.26,     530.79,  -157.26,     530.79,    82.74,          0,     0.00, 1.55668E-006,    -5.94
Line.L_65641138,     530.79,   142.74,     530.79,    22.74,     530.79,   -97.26,          0,     0.00, 1.56229E-006,   174.06,     530.79,   -37.26,     530.79,  -157.26,     530.79,    82.74,          0,     0.00, 1.56205E-006,    -5.85
Line.L_65641147,     530.79,   142.74,     530.79,    22.74,     530.79,   -97.26,          0,     0.00, 1.56161E-006,   173.97,     530.79,   -37.26,     530.79,  -157.26,     530.79,    82.74,          0,     0.00, 1.56304E-006,    -6.04
Line.L_65641156,     530.79,   142.74,     530.79,    22.74,     530.79,   -97.26,          0,     0.00, 1.57085E-006,   174.18,     530.79,   -37.26,     530.79,  -157.26,     530.79,    82.74,          0,     0.00, 1.57012E-006,    -5.89
