Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    1338.85,   140.14,    1338.85,    20.14,    1338.85,   -99.86,          0,     0.00, 2.56823E-006,   -15.56,    1338.85,   -39.86,    1338.85,  -159.86,    1338.85,    80.14,          0,     0.00, 2.56823E-006,   164.44
Line.L_65393838,    107.073,   -41.51,    107.073,  -161.51,    107.073,    78.49,          0,     0.00, 8.79896E-007,  -151.59,    107.073,   138.49,    107.073,    18.49,    107.073,  -101.51,          0,     0.00, 8.76078E-007,    28.27
Line.L_65393847,    54.4848,   -41.51,    54.4848,  -161.51,    54.4848,    78.49,          0,     0.00, 5.51202E-007,    95.62,    54.4848,   138.49,    54.4848,    18.49,    54.4848,  -101.51,          0,     0.00, 5.51112E-007,   -84.47
Line.L_65393840,    54.4989,   -41.51,    54.4989,  -161.51,    54.4989,    78.49,          0,     0.00, 5.53474E-007,    95.55,    54.4989,   138.49,    54.4989,    18.49,    54.4989,  -101.51,          0,     0.00, 5.51356E-007,   -84.72
Line.L_70004459,    54.4848,   -41.51,    54.4848,  -161.51,    54.4848,    78.49,          0,     0.00, 5.51067E-007,    95.48,    54.4848,   138.49,    54.4848,    18.49,    54.4848,  -101.51,          0,     0.00, 5.4988E-007,   -84.80
Line.L_70004447,    161.507,   -41.51,    161.507,  -161.51,    161.507,    78.49,          0,     0.00, 1.5808E-006,  -136.10,    161.507,   138.49,    161.507,    18.49,    161.507,  -101.51,          0,     0.00, 1.5814E-006,    44.02
Line.L_TR_SUB_MT_FIC_731,    106.835,   -41.49,    106.835,  -161.49,    106.835,    78.51,          0,     0.00, 2.48377E-008,    30.41,    106.835,   138.51,    106.835,    18.51,    106.835,  -101.49,          0,     0.00, 2.35654E-008,  -150.40
Line.L_TR_SUB_MT_FIC_2668,    107.073,   -41.51,    107.073,  -161.51,    107.073,    78.49,          0,     0.00, 8.81415E-007,  -151.47,    107.073,   138.49,    107.073,    18.49,    107.073,  -101.51,          0,     0.00, 8.81789E-007,    28.45
Line.L_TR_SUB_MT_FIC_2670,    54.4848,   -41.51,    54.4848,  -161.51,    54.4848,    78.49,          0,     0.00, 5.5296E-007,    96.43,    54.4848,   138.49,    54.4848,    18.49,    54.4848,  -101.51,          0,     0.00, 5.50028E-007,   -83.68
Line.L_TR_SUB_MT_FIC_2671,    54.4787,   -41.51,    54.4787,  -161.51,    54.4787,    78.49,          0,     0.00, 5.45297E-007,    96.28,    54.4787,   138.49,    54.4787,    18.49,    54.4787,  -101.51,          0,     0.00, 5.39442E-007,   -83.95
Line.L_65394105,    106.835,   -41.49,    106.835,  -161.49,    106.835,    78.51,          0,     0.00, 8.5016E-007,  -151.47,    106.835,   138.51,    106.835,    18.51,    106.835,  -101.49,          0,     0.00, 8.51354E-007,    28.42
Line.L_65641090,    532.786,   142.62,    532.786,    22.62,    532.786,   -97.38,          0,     0.00, 2.16315E-006,  -147.97,    532.786,   -37.38,    532.786,  -157.38,    532.786,    82.62,          0,     0.00, 2.16242E-006,    32.12
Line.L_65641099,    532.786,   142.62,    532.786,    22.62,    532.786,   -97.38,          0,     0.00, 2.16278E-006,  -147.73,    532.786,   -37.38,    532.786,  -157.38,    532.786,    82.62,          0,     0.00, 2.16332E-006,    32.25
Line.L_65641108,    532.786,   142.62,    532.786,    22.62,    532.786,   -97.38,          0,     0.00, 2.16474E-006,  -147.88,    532.786,   -37.38,    532.786,  -157.38,    532.786,    82.62,          0,     0.00, 2.16776E-006,    32.20
Line.L_65641117,    532.786,   142.62,    532.786,    22.62,    532.786,   -97.38,          0,     0.00, 2.17307E-006,  -147.94,    532.786,   -37.38,    532.786,  -157.38,    532.786,    82.62,          0,     0.00, 2.17733E-006,    32.19
Line.L_65641126,    532.786,   142.62,    532.786,    22.62,    532.786,   -97.38,          0,     0.00, 2.17589E-006,  -147.92,    532.786,   -37.38,    532.786,  -157.38,    532.786,    82.62,          0,     0.00, 2.17742E-006,    32.10
Line.L_65641135,    532.786,   142.62,    532.786,    22.62,    532.786,   -97.38,          0,     0.00, 2.17951E-006,  -147.79,    532.786,   -37.38,    532.786,  -157.38,    532.786,    82.62,          0,     0.00, 2.1798E-006,    32.18
Line.L_65641144,    532.786,   142.62,    532.786,    22.62,    532.786,   -97.38,          0,     0.00, 2.18434E-006,  -147.84,    532.786,   -37.38,    532.786,  -157.38,    532.786,    82.62,          0,     0.00, 2.18374E-006,    32.11
