Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L_CEI_MT_171881, 1.56188E-009,   -26.57, 7.08127E-009,  -170.54, 3.97861E-009,    69.44,          0,     0.00, 4.58623E-009,   156.04, 1.47255E-009,   161.57, 6.66725E-009,    12.09, 3.83994E-009,  -104.04,          0,     0.00, 4.58623E-009,   -23.96
Line.L_CEI_MT_171882, 2.71525E-009,  -149.04, 3.39007E-009,   -74.05, 2.0825E-009,   116.57,          0,     0.00, 3.63693E-009,  -129.81, 2.47502E-009,    41.19, 2.91736E-009,    61.39, 2.79397E-009,     0.00,          0,     0.00, 7.36275E-009,    34.70
Line.L_CEI_MT_171885,    674.704,   -41.66,    674.704,  -161.66,    674.704,    78.34,          0,     0.00, 0.000250843,   -18.39,    674.704,   138.34,    674.704,    18.34,    674.704,  -101.66,          0,     0.00, 0.000250842,   161.61
Line.L_CEI_MT_171886, 8.26795E-009,   -80.27, 7.61253E-009,  -156.57, 4.165E-009,    63.43,          0,     0.00,  8.33E-009,  -116.57, 8.69927E-009,   105.52, 6.0536E-009,    22.62, 2.0825E-009,  -116.57,          0,     0.00, 9.14879E-009,    75.26
Line.L_CEI_MT_171887, 4.91157E-009,   -84.56, 5.55388E-009,  -146.98, 2.63418E-009,    45.00,          0,     0.00, 6.48591E-009,  -111.04, 3.39007E-009,   105.95, 7.70807E-009,    25.02, 1.39698E-009,   180.00,          0,     0.00, 8.01154E-009,    54.46
Line.L_CEI_MT_171888, 2.29312E-009,  -113.96, 1.87714E-009,  -172.87, 2.32831E-009,   126.87,          0,     0.00, 4.21674E-009,  -173.66, 2.32831E-009,   -53.13, 1.47255E-009,   108.43, 9.31323E-010,     0.00,          0,     0.00, 1.91997E-009,   -14.04
Line.L_CEI_MT_171889,    674.704,   -41.66,    674.704,  -161.66,    674.704,    78.34,          0,     0.00, 0.000250845,   -18.39,    674.704,   138.34,    674.704,    18.34,    674.704,  -101.66,          0,     0.00, 0.000250845,   161.61
Line.L_CEI_MT_171893,    674.704,   -41.66,    674.704,  -161.66,    674.704,    78.34,          0,     0.00, 0.000250844,   -18.39,    674.704,   138.34,    674.704,    18.34,    674.704,  -101.66,          0,     0.00, 0.000250839,   161.60
Line.L_CEI_MT_171895, 4.00577E-009,   -54.46, 2.50766E-009,   -68.20, 2.0825E-009,  -116.57,          0,     0.00, 7.80591E-009,   -72.65, 1.31709E-009,   135.00, 2.71525E-009,    59.04, 3.72529E-009,    90.00,          0,     0.00, 7.00042E-009,    86.19
Line.L_CEI_MT_171897,    669.415,   138.34,    669.414,    18.34,    669.414,  -101.66,          0,     0.00, 0.000244773,   161.59,    669.415,   -41.66,    669.414,  -161.66,    669.414,    78.34,          0,     0.00, 0.000244771,   -18.41
