Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L_BSB_MT_5269,    2.50911,   155.13,    2.50906,    35.13,    2.50907,   -84.87,          0,     0.00, 3.56349E-005,    32.14,    2.50911,   -24.87,    2.50906,  -144.87,    2.50907,    95.13,          0,     0.00, 3.56348E-005,  -147.86
Line.L_BSB_MT_5287,   0.528294,   155.12,   0.528213,    35.12,   0.528318,   -84.87,          0,     0.00, 6.82051E-005,  -104.08,   0.528294,   -24.88,   0.528213,  -144.88,   0.528318,    95.13,          0,     0.00, 6.82052E-005,    75.92
Line.L_BSB_MT_5288,    2.37676,   -24.87,    2.37678,  -144.87,    2.37685,    95.13,          0,     0.00, 8.62931E-005,    95.12,    2.37676,   155.13,    2.37678,    35.13,    2.37685,   -84.87,          0,     0.00, 8.6293E-005,   -84.88
Line.L_BSB_MT_5289,    18.7126,   152.31,    18.7125,    32.31,    18.7128,   -87.69,          0,     0.00, 0.000102872,   -35.50,    18.7126,   -27.69,    18.7125,  -147.69,    18.7128,    92.31,          0,     0.00, 0.000102872,   144.50
Line.L_BSB_MT_5290,    14.1629,   151.41,    14.1628,    31.41,     14.163,   -88.59,          0,     0.00, 0.000102062,   -35.32,    14.1629,   -28.59,    14.1628,  -148.59,     14.163,    91.41,          0,     0.00, 0.000102062,   144.68
Line.L_BSB_MT_5291,    10.2115,   149.97,    10.2114,    29.97,    10.2116,   -90.02,          0,     0.00, 0.00010268,   -35.12,    10.2115,   -30.03,    10.2114,  -150.03,    10.2116,    89.98,          0,     0.00, 0.00010268,   144.88
Line.L_BSB_MT_5293,    215.098,   154.62,    215.099,    34.62,    215.099,   -85.38,          0,     0.00, 0.000476632,   -99.00,    215.098,   -25.38,    215.099,  -145.38,    215.099,    94.62,          0,     0.00, 0.000476632,    81.00
Line.L_BSB_MT_5294,    215.098,   154.62,    215.099,    34.62,    215.099,   -85.38,          0,     0.00, 0.000476632,   -99.00,    215.098,   -25.38,    215.099,  -145.38,    215.099,    94.62,          0,     0.00, 0.000476632,    81.00
Line.L_BSB_MT_5295,    275.174,   -25.27,    275.176,  -145.27,    275.176,    94.73,          0,     0.00, 0.00155411,   129.80,    275.174,   154.73,    275.176,    34.73,    275.176,   -85.27,          0,     0.00, 0.00155411,   -50.20
Line.L_BSB_MT_5308,    8.91152,   -24.90,    8.91151,  -144.90,    8.91141,    95.10,          0,     0.00, 0.000101967,  -111.13,    8.91152,   155.10,    8.91151,    35.10,    8.91141,   -84.90,          0,     0.00, 0.000101967,    68.87
