Element, Terminal, P(kW), Q(kvar),  P_Normal, Q_Normal, P_Emergency, Q_Emergency
"Line.L_BSB_MT_2356"    ,   1,       -40.4,       -18.3,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_2356"    ,   2,        40.4,        18.3
"Line.L_BSB_MT_2357"    ,   1,       871.6,       395.7,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_2357"    ,   2,      -871.5,      -395.7
"Line.L_BSB_MT_2360"    ,   1,       -86.4,       -39.2,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_2360"    ,   2,        86.4,        39.2
"Line.L_BSB_MT_2361"    ,   1,        41.2,        18.4,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_2361"    ,   2,       -41.2,       -18.4
"Line.L_BSB_MT_8919"    ,   1,     -1271.9,      -578.6,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_8919"    ,   2,      1272.1,       578.7
"Line.L_BSB_MT_8957"    ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_8957"    ,   2,        -0.0,        -0.0
"Line.L_BSB_MT_8959"    ,   1,         1.0,         0.2,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_8959"    ,   2,        -1.0,        -0.2
"Line.L_BSB_MT_8960"    ,   1,        16.0,         7.2,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_8960"    ,   2,       -16.0,        -7.2
"Line.L_BSB_MT_8962"    ,   1,       655.0,       320.7,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_8962"    ,   2,      -654.9,      -320.7
"Line.L_BSB_MT_8963"    ,   1,       -11.2,        -5.1,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_8963"    ,   2,        11.2,         5.1
"Line.L_BSB_MT_8964"    ,   1,       -11.2,        -5.1,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_8964"    ,   2,        11.2,         5.1
"Line.L_BSB_MT_8965"    ,   1,       175.5,        79.7,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_8965"    ,   2,      -175.5,       -79.7
"Line.L_BSB_MT_8966"    ,   1,      -291.4,      -109.1,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_8966"    ,   2,       291.4,       109.1
"Line.L_BSB_MT_7473"    ,   1,      -336.5,      -153.0,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_7473"    ,   2,       336.5,       153.0
"Line.L_BSB_MT_7577"    ,   1,       -40.4,       -18.3,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_7577"    ,   2,        40.4,        18.3
"Line.L_BSB_MT_7578"    ,   1,       551.4,       250.3,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_7578"    ,   2,      -551.3,      -250.3
"Line.L_BSB_MT_6345"    ,   1,     -5862.1,     -2737.1,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_6345"    ,   2,      5871.2,      2743.8
"Line.L_BSB_MT_3678"    ,   1,       112.8,        51.2,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_3678"    ,   2,      -112.8,       -51.2
"Line.L_BSB_MT_3679"    ,   1,       175.5,        79.7,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_3679"    ,   2,      -175.5,       -79.7
"Line.L_BSB_MT_3680"    ,   1,      -175.5,       -79.7,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_3680"    ,   2,       175.5,        79.7
"Line.L_BSB_MT_3681"    ,   1,      -175.5,       -79.7,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_3681"    ,   2,       175.5,        79.7
"Line.L_BSB_MT_3682"    ,   1,      -175.5,       -79.7,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_3682"    ,   2,       175.5,        79.7
"Line.L_BSB_MT_3683"    ,   1,      -175.5,       -79.7,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_3683"    ,   2,       175.5,        79.7
"Line.L_BSB_MT_3684"    ,   1,       175.5,        79.7,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_3684"    ,   2,      -175.5,       -79.7
"Line.L_BSB_MT_3685"    ,   1,       119.9,        54.4,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_3685"    ,   2,      -119.9,       -54.4
"Line.L_BSB_MT_3686"    ,   1,        78.1,        35.4,         0.0,         0.0,         0.0,         0.0
"Line.L_BSB_MT_3686"    ,   2,       -78.1,       -35.4
"Line.L_BSB_MT_3687"    ,   1,        25.1,        11.4,         0.0,         0.0,         0.0,         0.0
