Element, Terminal, P(kW), Q(kvar),  P_Normal, Q_Normal, P_Emergency, Q_Emergency
"Line.L_TR_SUB_MT_FIC_534",   1,       609.3,       297.2,         0.0,         0.0,         0.0,         0.0
"Line.L_TR_SUB_MT_FIC_534",   2,      -609.3,      -297.2
"Line.L_TR_SUB_MT_FIC_537",   1,       609.3,       297.2,         0.0,         0.0,         0.0,         0.0
"Line.L_TR_SUB_MT_FIC_537",   2,      -609.3,      -297.2
"Line.L_TR_SUB_MT_FIC_542",   1,       609.3,       297.2,         0.0,         0.0,         0.0,         0.0
"Line.L_TR_SUB_MT_FIC_542",   2,      -609.3,      -297.2
"Line.L_TR_SUB_MT_FIC_545",   1,       609.3,       297.2,         0.0,         0.0,         0.0,         0.0
"Line.L_TR_SUB_MT_FIC_545",   2,      -609.3,      -297.2
"Line.L_TR_SUB_MT_FIC_549",   1,       609.3,       297.2,         0.0,         0.0,         0.0,         0.0
"Line.L_TR_SUB_MT_FIC_549",   2,      -609.3,      -297.2
"Line.L_TR_SUB_MT_FIC_553",   1,       609.3,       297.2,         0.0,         0.0,         0.0,         0.0
"Line.L_TR_SUB_MT_FIC_553",   2,      -609.3,      -297.2
"Line.L_65434592"       ,   1,      1218.6,       594.5,         0.0,         0.0,         0.0,         0.0
"Line.L_65434592"       ,   2,     -1218.6,      -594.5
"Line.L_TR_SUB_MT_FIC_3072",   1,       609.3,       297.2,         0.0,         0.0,         0.0,         0.0
"Line.L_TR_SUB_MT_FIC_3072",   2,      -609.3,      -297.2
"Line.L_TR_SUB_MT_FIC_3254",   1,       609.3,       297.2,         0.0,         0.0,         0.0,         0.0
"Line.L_TR_SUB_MT_FIC_3254",   2,      -609.3,      -297.2
"Line.L_TR_SUB_MT_FIC_3312",   1,       609.3,       297.2,         0.0,         0.0,         0.0,         0.0
"Line.L_TR_SUB_MT_FIC_3312",   2,      -609.3,      -297.2
"Line.L_TR_SUB_MT_FIC_3354",   1,       609.3,       297.2,         0.0,         0.0,         0.0,         0.0
"Line.L_TR_SUB_MT_FIC_3354",   2,      -609.3,      -297.2
"Line.L_65632489"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.L_65632489"       ,   2,        -0.0,        -0.0
"Line.L_65453103"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.L_65453103"       ,   2,        -0.0,        -0.0
"Line.L_65453088"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.L_65453088"       ,   2,        -0.0,        -0.0
"Line.L_65453072"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.L_65453072"       ,   2,        -0.0,        -0.0
"Line.L_65453042"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.L_65453042"       ,   2,        -0.0,        -0.0
"Line.L_65453041"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.L_65453041"       ,   2,        -0.0,        -0.0
"Line.L_65453376"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.L_65453376"       ,   2,        -0.0,        -0.0
"Line.L_65453360"       ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
