Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L_CEI_MT_171881, 7.98269E-010,   132.41, 7.84936E-010,   133.31, 8.24209E-010,   132.14,          0,     0.00, 2.40732E-009,   132.61, 5.16132E-010,   -49.57, 4.84603E-010,   -48.65, 5.35463E-010,   -47.20,          0,     0.00, 1.53597E-009,   -48.46
Line.L_CEI_MT_171882, 4.83728E-010,   133.78, 4.77813E-010,   132.07, 5.09577E-010,   133.26,          0,     0.00, 1.471E-009,   133.05, 2.03369E-011,    79.70, 1.09139E-011,   180.00, 1.09139E-011,     0.00,          0,     0.00, 2.03369E-011,    79.70
Line.L_CEI_MT_171885,    86.1394,   153.76,    86.1403,    33.76,    86.1406,   -86.24,          0,     0.00, 0.00202024,   -26.36,    86.1394,   -26.24,    86.1403,  -146.24,    86.1406,    93.76,          0,     0.00, 0.00202024,   153.64
Line.L_CEI_MT_171886, 1.23584E-009,   132.61, 1.24322E-009,   130.07, 1.25394E-009,   132.53,          0,     0.00, 3.73222E-009,   131.74, 8.10812E-010,   -47.00, 8.2679E-010,   -50.36, 8.31571E-010,   -47.30,          0,     0.00, 2.46831E-009,   -48.23
Line.L_CEI_MT_171887, 8.48135E-010,   133.00, 8.32652E-010,   131.28, 8.21289E-010,   132.67,          0,     0.00, 2.50186E-009,   132.32, 3.60178E-010,   -45.82, 3.27418E-010,   -53.13, 3.24168E-010,   -44.09,          0,     0.00, 1.00946E-009,   -47.63
Line.L_CEI_MT_171888, 3.39562E-010,   135.00, 3.40962E-010,   129.81, 3.39718E-010,   133.26,          0,     0.00, 1.01952E-009,   132.69, 1.95911E-011,    68.20,          0,     0.00,          0,     0.00,          0,     0.00, 1.95911E-011,    68.20
Line.L_CEI_MT_171889,    86.1394,   153.76,    86.1403,    33.76,    86.1406,   -86.24,          0,     0.00, 0.00202024,   -26.36,    86.1394,   -26.24,    86.1403,  -146.24,    86.1406,    93.76,          0,     0.00, 0.00202025,   153.64
Line.L_CEI_MT_171893,    86.1394,   153.76,    86.1403,    33.76,    86.1406,   -86.24,          0,     0.00, 0.00202025,   -26.36,    86.1394,   -26.24,    86.1403,  -146.24,    86.1406,    93.76,          0,     0.00, 0.00202025,   153.64
Line.L_CEI_MT_171895, 1.09139E-011,     0.00, 1.85501E-011,   168.69, 2.2129E-011,   -99.46,          0,     0.00, 2.12129E-011,  -120.96, 5.30322E-010,   132.78, 5.14054E-010,   131.70, 5.28109E-010,   131.93,          0,     0.00, 1.57243E-009,   132.14
Line.L_CEI_MT_171897,    87.1067,   -26.24,    87.1075,  -146.24,    87.1078,    93.76,          0,     0.00, 0.00196566,   151.65,    87.1067,   153.76,    87.1075,    33.76,    87.1078,   -86.24,          0,     0.00, 0.00196565,   -28.35
Line.L_CEI_MT_171898, 1.17212E-009,   -46.45, 1.16471E-009,   -46.96, 1.18738E-009,   -48.91,          0,     0.00, 3.5236E-009,   -47.45, 1.85788E-009,   133.57, 1.85727E-009,   132.90, 1.87374E-009,   131.46,          0,     0.00, 5.58822E-009,   132.64
Line.L_CEI_MT_171900, 1.14824E-009,   132.69, 1.15264E-009,   131.03, 1.17831E-009,   131.12,          0,     0.00, 3.47889E-009,   131.61, 8.1844E-010,   -46.80, 8.45327E-010,   -48.49, 8.61341E-010,   -51.00,          0,     0.00, 2.52396E-009,   -48.80
Line.L_CEI_MT_171901, 8.31093E-010,   133.76, 8.63459E-010,   131.41, 8.63459E-010,   131.41,          0,     0.00, 2.55754E-009,   132.18, 2.38121E-010,   -42.83, 2.60522E-010,   -52.09, 2.54659E-010,   -53.13,          0,     0.00, 7.50914E-010,   -49.52
Line.L_CEI_MT_171903, 2.52152E-010,   136.17, 2.52571E-010,   131.50, 2.88847E-010,   130.91,          0,     0.00, 7.92912E-010,   132.77, 1.62695E-011,    26.57, 2.44043E-011,   -26.57, 3.63798E-011,   -53.13,          0,     0.00, 6.67844E-011,   -29.36
